content,base text ref,problem
"מתני' <b>באחד באדר משמיעין על השקלים.</b> ב""ד שולחין בכל ערי ישראל ומכריזין שיביאו תקליהם ולמה באחד באדר מפרש בגמ':",JTmock Shekalim 1:1:1,
<b>ועל הכלאים.</b> מכריזין שימעטו הזרע האחר עד שלא ישאר בו רובע קב לסאה:,JTmock Shekalim 1:1:1,
"<b>בט""ו בו קורין את המגילה בכרכים המוקפין חומה מימות יהושע בן נון.</b> איידי דבעי למתני דבט""ו באדר שלחנות יושבים במדינות תני נמי כל מה שהיו עושין בו ביום ולהכי לא תני שבי""ד קורין את המגילה בשאר עיירות דלא חש למתני מה שנעשה בכל החדש:",JTmock Shekalim 1:1:1,
"<b>ומתקנין את הדרכים ואת הרחובות.</b> והשווקים שנתקלקלו בימות הגשמים בשביל עולי רגלים א""נ בשביל הרוצחים בשגגה כדכתיב תכין לך הדרך:",JTmock Shekalim 1:1:1,
<b>ואת מקוות המים.</b> אם נתרבה בהם טיט מנקין אותן ואם נחסר שיעורן ממשיכין להן מים וממלאין אותן:,JTmock Shekalim 1:1:1,
<b>כל צרכי רבים.</b> מפרש בגמרא:,JTmock Shekalim 1:1:1,
<b>ומציינין את הקברות.</b> שלא יאהילו עליהם הכהנים ועושי טהרות והציון הוא שממחים סיד ושופכין אותו סביב הקבר ובימות הגשמים היה הסיד נמוח וצריך לחזור ולציינו:,JTmock Shekalim 1:1:1,
"גמ' <b>בעונתן.</b> בזמנן קודם ר""ח ניסן כדי שיכולין לתרום תרומת הלשכה שממנה לוקחין קרבנות לצרכי השנה הבא מניסן ואילך ולכך משמיעין באחד באדר שלשים יום קודם:",JTmock Shekalim 1:1:2,
"<b>תרומת הלשכה.</b> היא התרומה שתורמין מן הלשכה שנתנו בתוכה כל השקלים כדתנן לקמן פ""ג:",JTmock Shekalim 1:1:2,
"<b>ואמר ר""ש בר""י.</b> דהיינו טעמא דתורמין הלשכה דוקא בר""ח ניסן:",JTmock Shekalim 1:1:2,
"<b>כתחלתה.</b> כמו שהיתה תרומה ראשונה בשעה שהוקם המשכן שהיתה בר""ח ניסן כן לדורות נמי מר""ח ניסן מתחילין לתרום מן החדש:",JTmock Shekalim 1:1:2,
<b>נאמר כאן חדשי.</b> זאת עולת חודש בחדשו לחדשי השנה:,JTmock Shekalim 1:1:2,
<b>ונאמר להלן חדשי.</b> ראשון הוא לכם לחדשי השנה:,JTmock Shekalim 1:1:2,
<b>שבק רבי טבי וכו'.</b> הניח ר' טבי רישא דברייתא ואמר הסיפא לחוד:,JTmock Shekalim 1:1:2,
<b>דל כן.</b> ולא נכון לעשות כן שקיצר במקום שהיה לו להאריך דמסיפא לא שמעי' דמדאורייתא צריך להביא מן החדש:,JTmock Shekalim 1:1:2,
"<b>ת""ל בחדשו לחדשי.</b> דה""מ למכתב זאת עולת החדש:",JTmock Shekalim 1:1:2,
"<b>בחדש אחד כו'.</b> וה""פ זאת עולת החדש בחדשו שיחדש ויביא מתרומה חדשה לכל חדשי השנה:",JTmock Shekalim 1:1:2,
<b>יכול באיזה חודש שירצה.</b> ויתרום לכל חדשי השנה:,JTmock Shekalim 1:1:2,
"<b>ויתנו קול ביהודה ובירושל'.</b> להביא לה' משאת משה עבד ה' והיינו השקלים ש""מ שמכריזין על השקלים:",JTmock Shekalim 1:1:3,
"<b>תמן תנינן.</b> מגילה פ""ק:",JTmock Shekalim 1:1:4,
<b>אף שימוע שקלים וכלאים.</b> איכא בין אדר ראשון לשני שאין משמיעין אלא בשני:,JTmock Shekalim 1:1:4,
"<b>ר' חלבו וכו' עד זמן קרייתה.</b> ל""ג:",JTmock Shekalim 1:1:4,
<b>ויאות.</b> שפיר קאמרת דשימוע שקלים וכלאים אינן אלא בשני:,JTmock Shekalim 1:1:4,
<b>עד כדון וכו'.</b> עדיין יש בשנה קודם ראש חודש ניסן ששים יום ולמה יקדמו כל כך:,JTmock Shekalim 1:1:4,
<b>עד כדון אינון דקיקין.</b> עדיין הצמחים דקים ואינן ניכרין לידע אם הם כלאים:,JTmock Shekalim 1:1:4,
"<b>מעתה.</b> דעיקר טעם הכרזה כדי שיביאו בעונתן דוקא א""כ למה משמיעין על שקליהם באדר הא אי אפשר להן להביאן קודם ר""ח ניסן וי""ג מראשו של חורף וה""פ לפי דבריך צריכין בני בבל להשמיע בראשו של חורף כדי שיבואו לירושלים בראש חודש ניסן:",JTmock Shekalim 1:1:5,
"<b>והא תנינן.</b> לקמן פ""ג:",JTmock Shekalim 1:1:5,
"<b>בפרוס הפסח.</b> היינו ט""ו יום דפרוס לשון מחצה הוא ושלשים יום קודם החג שואלין ודורשין:",JTmock Shekalim 1:1:5,
"<b>ה""ג א""כ.</b> לפי משמעות משנה זו נאמר דג' זמנים אלו קבעו לתרום משקלי הקרובים לירושלים בפסח והרחוקים קצת בעצרת והרחוקים ביותר בחג נמצא שדי אף לבני בבל בהכרזת אדר שעדיין יש פנאי שיביאו שקליהן קודם החג:",JTmock Shekalim 1:1:5,
<b>כולה כאחת היתה באה.</b> לצורך כל השלשה תרומות היו תורמין בראש חודש ניסן ואף שלא היו בה ממקומות הרחוקים לית לן בה שתורמין על הגבוי ועל העתיד לגבות:,JTmock Shekalim 1:1:5,
<b>כדי לעשות פומבי לדבר.</b> לפרסם ולהודיע כי בחג הפסח חובה להביא תרומת מקום הקרוב לירושלים והרחוק במקצת בעצרת והרחוק ביותר בחג אבל לתוך הקופות לא בא משקלי הרחוקים:,JTmock Shekalim 1:1:5,
<b>הן נקרא ולא נבהת.</b> איך אפשר לקרות פסוקים אלו בלא בעיתה ורעדה:,JTmock Shekalim 1:1:6,
<b>לטובה.</b> לנדבת משכן לא הביאו כולם אלא כל נדיב לב הביאו:,JTmock Shekalim 1:1:6,
<b>לרעה.</b> במעשה עגל כתיב ויתפרקו כל העם:,JTmock Shekalim 1:1:6,
<b>לטובה.</b> במתן תורה כתיב ויוצא משה את העם ולא יצאו מעצמן:,JTmock Shekalim 1:1:6,
<b>לרעה.</b> בשילוח מרגלים ותקרבון אלי מעצמן:,JTmock Shekalim 1:1:6,
"<b>אז ישיר משה.</b> וע""י התעוררת משה השירו גם בני ישראל:",JTmock Shekalim 1:1:6,
<b>לרעה.</b> בביאת מרגלים ותשא כל העדה אתי קולם מעצמם:,JTmock Shekalim 1:1:6,
<b>אכן השכימו השחיתו.</b> כלומר גם הנביא צפניה הוכיחן כיוצא בזה השחתה עשו בהשכמה והטוב לא עשו בהשכמה שגבי עגל כתיב וישכימו ממחרת וגבי נדבת המשכן כתיב והם הביאו אליו עוד נדבה בבקר בבקר ולא בהשכמה ממש:,JTmock Shekalim 1:1:6,
<b>אופיא.</b> דעתם ומנהגם של אומה זו:,JTmock Shekalim 1:1:6,
<b>נתבעין לעגל.</b> כשתבעו מהם זהב לעגל נתנו וכשתבעו למשכן נתנו:,JTmock Shekalim 1:1:6,
<b>הדא מתניתא.</b> פליגא על ר' בא דלכך נתנו למשכן כדי לכפר על מעשה עגל:,JTmock Shekalim 1:1:6,
<b>בפרשה זאת.</b> היא פרשת ויקחו לי תרומה:,JTmock Shekalim 1:1:7,
<b>מה שירצו יעשו.</b> לצרכי המשכן יהיה לאיזה צורך שיהיה וגם כמה שהיו רוצים היו יכולים ליתן:,JTmock Shekalim 1:1:7,
<b>מה שירצו יעשו.</b> לאיזה קרבן שהיו צריכין וכן מבקרין מומין היו לוקחין שכרן מתרומת הלשכה וכמה שהיו רוצים היו יכולים ליתן ובלבד שיהא יד כולם שוה:,JTmock Shekalim 1:1:7,
<b>תרומת אדנים לאדנים.</b> דוקא ולא לשאר דברים:,JTmock Shekalim 1:1:7,
<b>אף בפרשה הזאת.</b> והיא פרשת כי תשא:,JTmock Shekalim 1:1:7,
"<b>הכל יוצאין בי""ד.</b> אפילו כרכים שהוא עיקר זמן קריאתה והא דתנן כרכים קורין בט""ו היינו אם רצו משא""כ עיירות אסורים לקרות בט""ו דכתיב ולא יעבור:",JTmock Shekalim 1:1:8,
"<b>לא בא אלא ללמדך כו'.</b> כלומר ולא תיקשי לך א""כ דהכל יוצאין בי""ד בזמניהם ל""ל דבבבלי ריש מגילה אמרינן בזמניהם בא ללמד שזמנו של זה לא כזמנו של זה וקאמר הש""ס דלר' חלבו בא ללמד שיכול לקרות' באחד מהזמנים באדר ראשון או בשני ובמגילה פ""ק הגירסא לא בא אלא ללמדך שהמצות נוהגות בשני ואיכא לפרושי דה""ק בזמניהם אתי ללמד שלא יקראו אלא בזמנם דהיינו באדר שני והא ודאי דלר' חלבו קשיא מתני' דתני בט""ו קורין את המגינה בכרכים דמשמע מינה דחיובא הוא שיקראו דוקא בט""ו א""נ הכי קשיא ליה דבמתני' משמע שאין קורין אלא באדר שני דומיא דאינך:",JTmock Shekalim 1:1:8,
<b>הוון יתיבין.</b> והוה קשיא להו מתני' לר' חלבו:,JTmock Shekalim 1:1:8,
"<b>ה""ג לא מסתברא אלא לשעברי אבל להבא לא.</b> וה""פ הא דר""ח אינו אלא לשעבר אם קרא בכרכים בי""ד שיצא אבל לכתחלה צריך לקרות בט""ו ומתניתין איירי בלכתחלה:",JTmock Shekalim 1:1:8,
"ופריך <b>והא תני מקום שנהגו לקרות שני ימים.</b> והיינו במקום שמסופקים אם הוא כרך או כפר ואס""ד שהכל יוצאין בי""ד למה קורין שני ימים:",JTmock Shekalim 1:1:8,
"<b>א""ל אף אנא סובר כן.</b> שאינו יוצא בי""ד:",JTmock Shekalim 1:1:8,
"<b>ויאות.</b> בתמיה וכי שפיר קפריך דקאמר שאף הוא סובר כן. ל""א ויאות וספיר קאר""ח ולא קשיא מהך ברייתא:",JTmock Shekalim 1:1:8,
<b>שמא אין שומעין לו.</b> וכי מוחין בידו:,JTmock Shekalim 1:1:8,
"<b>אם אומר את כן.</b> שעיר שהיא ספק כרך אם קראו בי""ד שאסורין לקרות בט""ו עקרת זמן הכרכים בידיך ולא ידענו שהוא ספק ובטלת תקנת חכמים שאמרו שהכרכים יקראו בט""ו לחלוק כבוד לא""י וכין שאין מוחין בידן לא קשיא לר' חלבו דלכך קורין שני ימים אע""פ שיצאו בקריאת י""ד כיון דלא אפשר:",JTmock Shekalim 1:1:8,
<b>מצות הנוהגות באדר שני.</b> כגון סדר פרשיות ומקרא מגילה ומתנות לאביונים:,JTmock Shekalim 1:1:9,
"<b>שהן שוין בזה ובזה.</b> שבי""ד ובט""ו שבראשון נמי אסור בהספד ובתענית. לא אמר אלא הנהיג. אבל אין מורין כן:",JTmock Shekalim 1:1:9,
<b>כותבין אדר הראשון ואדר השני.</b> כלומר ולא אמרינן דאדר ראשון שבט מיקרי אלא שניהן הן אדר וכותבין בשטרות אדר. אלא שבאדר שני כותבין אדר תניין:,JTmock Shekalim 1:1:10,
"<b>כותבין תי""י.</b> שהיא ראשי תיבות תניין וסגי בזה:",JTmock Shekalim 1:1:10,
<b>ומשקין את הסוטות.</b> בודקין אם ראויה לשתות:,JTmock Shekalim 1:1:11,
"<b>ומפרקין את המנעול מע""ג אימום וכו'.</b> לאו צורכי רבים היא אלא סיומא דתוספתא היא ובחול המועד איירי דמותר לפרק המנעול מע""ג הדפוס שאין זה מעשה אומן אבל אסור להחזירו שצריך אומן ואסור במועד:",JTmock Shekalim 1:1:11,
"<b>תמן תנינן.</b> פ""ק דמ""ק. משקין בית השלחין ומציינין את הקברות ויוצאין אף על הכלאים במועד:",JTmock Shekalim 1:1:12,
ופריך <b>לא כבר ציינו באדר.</b> כדתנן במתני' ולמה צריך תו לציין במועד:,JTmock Shekalim 1:1:12,
<b>ושטפו.</b> לציון הראשון וצריך ציון אחר:,JTmock Shekalim 1:1:12,
<b>לא כבר יצאו באדר.</b> ולמה להו לצאת שנית במועד:,JTmock Shekalim 1:1:13,
<b>ואין הצמחין.</b> של הכלאים היו ניכרין כולן בחמשה עשר באדר:,JTmock Shekalim 1:1:13,
<b>מניין.</b> רמז לציון הקברות מקרא:,JTmock Shekalim 1:1:14,
<b>טומאה קוראת וכו'.</b> כלומר עושים סימנים על הטומאה כדי שיהיה מרגיש ופורש:,JTmock Shekalim 1:1:14,
"<b>ועברו העוברים וגו'.</b> בנבואת יחזקאל כתיב שלעתיד יעשו ישראל ציונים על עצמות הפגרים המושלכין ופשטיה דקרא הציון הוא שיטלו אותו משם ויקברנו בגיא המון גוג מ""מ רמז הוא שבא הכתוב להזהיר וללמד שיהא אדם עושה ציון שיפרישו מפני הטומאה:",JTmock Shekalim 1:1:14,
<b>עצם.</b> קדריש כולא קרא:,JTmock Shekalim 1:1:14,
"<b>על העצמות.</b> אע""פ שנתעכל הבשר דאכתי מטמא באהל ואיירי בשיש בהן רובע הקב אע""פ שאינן לא רוב בנין ולא רוב מנין:",JTmock Shekalim 1:1:14,
"<b>על השדרה ועל הגלגולת.</b> אע""פ שאינן אלא עצם אחד:",JTmock Shekalim 1:1:14,
"<b>ע""ג אבן קבועה.</b> על הקבר לאפוקי אבן המתגלגל דהכי משמע לישנא דקרא ובנה שהוא מחובר בבנין:",JTmock Shekalim 1:1:14,
<b>אף היא הולכת.</b> ומתגלגלת למקום אחר ויאמרו שהטומאה היא שם ומטהרים טמאות ומטמאים טהרות שלא כדין:,JTmock Shekalim 1:1:14,
"<b>למקום טהרה.</b> מדלא כתיב ובנה עליו ציון משמע שאפילו על מקום טהרה שאצלו מציינין דאל""כ אינו מרגיש עד שיבוא על הציון וכבר נטמאו הטהרות לכך מרחיקין מקצת כשיבוא על הציון מרגיש בטומאה שלפניו ואינו הולך לשם:",JTmock Shekalim 1:1:14,
<b>מכאן לציון.</b> שעושין סימן:,JTmock Shekalim 1:1:14,
"<b>ה""ג תני מצא אבן וכו' אע""פ שאינו רשאי.</b> שהרי צריך להרחיק הציון מן הטומאה כל שהוא כדפרישית בסמוך וכשהטומאה תחת האבן הרי כל האבן מטמא באהל:",JTmock Shekalim 1:1:15,
"<b>ה""ג אני אומר מת קמצוץ והיה נתון תחתיה וכ""ה במ""ק.</b> וה""פ מת שמרגלותיו מונחים אצל ראשו ונקבר שלא כדרכו ולא היה מחזיק מקומו יותר מן האבן הלזה ואפילו האבן קטן:",JTmock Shekalim 1:1:15,
"<b>קמצוץ.</b> פי' שנקמץ ואינו מחזיק הרבה וחבירו בפסחים פ' כיצד צולין דף פ""ו:",JTmock Shekalim 1:1:15,
