Index Title,Oholot
Version Title,"""Talmud Bavli. German. Lazarus Goldschmidt. 1929"""
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH001042448/NLI
Version Notes,
Mishnah Oholot 1:1,"<b>D</b>URCH <small>EINEN</small> T<small>OTEN</small><sup>1</sup><i class=""footnote"">fn921,Als welcher auch ein Teil desselben gilt; weit. Abschn. X.</i> <small>KÖNNEN ZWEI</small> D<small>INGE UNREIN WERDEN</small><sup>2</sup><i class=""footnote"">fn922,Nach einander, eines durch das andere.</i>, <small>EINES SIEBENTÄGIG UNREIN UND EINES BIS ZUM</small> A<small>BEND UNREIN</small>. D<small>URCH EINEN</small> T<small>OTEN KÖNNEN DREI</small> D<small>INGE UNREIN WERDEN, ZWEI SIEBENTÄGIG UNREIN UND EINES BIS ZUM</small> A<small>BEND UNREIN</small>. D<small>URCH EINEN</small> T<small>OTEN KÖNNEN VIER</small> D<small>INGE UNREIN WERDEN, DREI SIEBENTÄGIG UNREIN UND EINES BIS ZUM</small> A<small>BEND UNREIN</small>. W<small>IESO ZWEI?</small> B<small>ERÜHRT EIN</small> M<small>ENSCH EINEN</small> T<small>OTEN, SO IST ER SIEBENTÄGIG UNREIN, UND EIN</small> M<small>ENSCH, DER DIESEN BERÜHRT, IST BIS ZUM</small> A<small>BEND UNREIN</small>."
Mishnah Oholot 1:2,"II. W<small>IESO DREI?</small> B<small>ERÜHREN</small> G<small>ERÄTE</small><sup>3</sup><i class=""footnote"">fn923,Nach dem T. gleichen den Toten berührende Metallgeräte dem Toten selber, der Urunreinheit ist (cf. Sab. Fol. 101b), u. machen somit anderes als Urunreinheit unrein.</i> <small>EINEN</small> T<small>OTEN UND ANDERE</small> G<small>ERÄTE DIESE</small> G<small>ERÄTE, SO SIND SIE SIEBENTÄGIG UNREIN; DAS DRITTE ABER, OB</small> M<small>ENSCH ODER</small> G<small>ERÄT, IST BIS ZUM</small> A<small>BEND UNREIN</small>."
Mishnah Oholot 1:3,"III. W<small>IESO VIER?</small> B<small>ERÜHREN</small> G<small>ERÄTE EINEN</small> T<small>OTEN, EIN</small> M<small>ENSCH</small> G<small>ERÄTE UND DIE</small> G<small>ERÄTE EINEN</small> M<small>ENSCHEN, SO SIND SIE SIEBENTÄGIG UNREIN, DAS VIERTE ABER, OB</small> M<small>ENSCH ODER</small> G<small>ERÄT, IST BIS ZUM</small> A<small>BEND UNREIN</small>. R. A͑<small>QIBA SPRACH:</small> I<small>CH HABE NOCH EIN FÜNFTES: WENN EIN</small> S<small>PIESS</small><sup>4</sup><i class=""footnote"">fn924,Ein Zeltpflock od. die Stange in der Mitte, aus Metall.</i> <small>IM</small> Z<small>ELTE</small><sup>5</sup><i class=""footnote"">fn925,In dem der Tote sich befindet.</i> <small>STECKT, SO SIND DAS</small> Z<small>ELT, DER</small> S<small>PIESS, DER DEN</small> S<small>PIESS BERÜHRENDE</small> M<small>ENSCH UND DIE DEN</small> M<small>ENSCHEN BERÜHRENDEN</small> G<small>ERÄTE SIEBENTÄGIG UNREIN, DAS FÜNFTE ABER, OB</small> M<small>ENSCH ODER</small> G<small>ERÄT, IST BIS ZUM</small> A<small>BEND UNREIN</small>. S<small>IE ERWIDERTEN IHM:</small> D<small>AS</small> Z<small>ELT WTRD NICHT MITGERECHNET</small><sup>6</sup><i class=""footnote"">fn926,Der Spieß wird nicht durch das Zelt unrein, sondern ist ein Teil desselben.</i>."
Mishnah Oholot 1:4,"IV. M<small>ENSCH UND</small> G<small>ERÄTE WERDEN DURCH EINEN</small> T<small>OTEN UNREIN</small>. S<small>CHWERER IST ES BEIM</small> M<small>ENSCHEN ALS BEI</small> G<small>ERÄTEN, UND BEI</small> G<small>ERÄTEN ALS BEIM</small> M<small>ENSCHEN</small>. B<small>EI</small> G<small>ERÄTEN WERDEN DREI</small> D<small>INGE UNREIN, BEIM</small> M<small>ENSCHEN NUR ZWEI</small><sup>7</sup><i class=""footnote"">fn927,Nach den Beispielen in Mišna I. u. II.</i>. S<small>CHWERER IST ES BEIM</small> M<small>ENSCHEN, DENN WENN ER IN DER</small> M<small>ITTE IST, SIND ES VIER, UND WENN ER NICHT IN DER</small> M<small>ITTE IST, SIND ES DREI</small><sup>7</sup><i class=""footnote"">fn927,Nach den Beispielen in Mišna I. u. II.</i>."
Mishnah Oholot 1:5,"V. M<small>ENSCH UND</small> K<small>LEIDER</small><sup>8</sup><i class=""footnote"">fn928,Die als Sitz u. Lager geeignet sind u. durch Auftreten eines Flußbehafteteu unrein werden.</i> <small>WERDEN DURCH EINEN</small> F<small>LUSSBEHAFTETEN UNREIN</small>. S<small>CHWERER IST ES BEIM</small> M<small>ENSCHEN ALS BEI</small> K<small>LEIDERN, UND BEI</small> K<small>LEIDERN ALS BEIM</small> M<small>ENSCHEN</small>. B<small>ERÜHRT EIN</small> M<small>ENSCH EINEN</small> F<small>LUSSBEHAFTETEN, SO MACHT ER</small> K<small>LEIDER UNREIN, NICHT ABER MACHEN</small> K<small>LEIDER, DIE EINEN</small> F<small>LUSSBEHAFTETEN BERÜHREN, EINEN</small> M<small>ENSCHEN UNREIN</small>. U<small>ND SCHWERER IST ES BEI</small> K<small>LEIDERN, DENN</small> K<small>LEIDER, DIE EINEN</small> F<small>LUSSBEHAFTETEN TRAGEN, MACHEN EINEN</small> M<small>ENSCHEN UNREIN, NICHT ABER MACHT EIN</small> M<small>ENSCH, DER EINEN</small> F<small>LUSSBEHAFTETEN TRÄGT, EINEN</small> M<small>ENSCHEN UNREIN</small>."
Mishnah Oholot 1:6,"VI. E<small>IN</small> M<small>ENSCH VERUNREINIGT NICHT EHER, ALS BIS IHM DIE</small> S<small>EELE AUSGEGANGEN IST</small>. S<small>ELBST DEM DIE</small> S<small>EHNEN ZERSCHNITTEN SIND, ODER DER IM</small> S<small>TERBEN LIEGT, VERPFLICHTET NOCH ZUR</small> S<small>CHWAGEREIIE</small><sup>9</sup><i class=""footnote"">fn929,Cf. Dt. 25,5.</i>, <small>ENTBINDET VON DER</small> S<small>CHWAGEREHE</small><sup>10</sup><i class=""footnote"">fn930,Wei in er in diesem Zustande ein Kind hinterläßt.</i>, <small>BERECHTIGT</small><sup>11</sup><i class=""footnote"">fn931,Seine Hausleute, wenn er Priester ist.</i><small>ZUM</small> E<small>SSEN VON</small> H<small>EBE UND MACHT FÜR DIE</small> H<small>EBE UNTAUGLICH</small><sup>12</sup><i class=""footnote"">fn932,Seine von einem Priester geborene und von einem Jisraéliton verwitwete Mutter; cf. Lev. 22,13.</i>. D<small>ESGLEICHEN VERUNREINIGEN</small> V<small>IEH UND</small> W<small>ILD NICHT EHER, ALS IHNEN DIE</small> S<small>EELE AUSGEGANGEN IST</small>. I<small>ST IHNEN DER</small> K<small>OPF ABGESCHLAGEN WORDEN, SO SIND SIE, SELBST WENN SIE NOCH ZAPPELN, UNREIN, DENN AUCH DER</small> S<small>CHWANZ EINER</small> E<small>IDECHSE ZAPPELT</small><sup>13</sup><i class=""footnote"">fn933,Nachdem er abgetrennt worden ist; dies ist kein Zeichen des Lebens, sondern nur ein Reflex.</i>."
