Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Tosefta Chagigah 2:1,Tosefta Chagigah - Machon Mamre,he,"אין דורשין בעריות בשלשה אבל דורשין בשנים [ולא] במעשה בראשית בשנים אבל דורשין ביחיד ולא במרכבה ביחיד אא""כ היה חכם מבין מדעתו מעשה ברבן יוחנן בן זכאי שהיה רוכב על החמור והיה רבי אלעזר בן ערך מחמר אחריו",ngram,21.200396
1,--,"Chizkuni, Genesis 1:27:1",Chizkuni,he,בצלמו שהוא צלם אלקים ואל תתמה אם לא נתפרשה יצירת המלאכים כי לא כתב משה רבינו כאן לא מלאכים ולא גיהנם ולא מעשה מרכבה אלא רק דברים שאנו רואים בעולם כמו שפירשתי למעלה. ד״‎א בצלמו בצלם שלו שלא הוצרך שישאילו לו אחרים שום צלם.,hebmorph-standard,68.411865
2,--,"Ein Yaakov (Glick Edition), Sukkah 2:8","En Jacob, translated by SH Glick, 1916",he,שועלים דבר קטן ודבר גדול. דבר גדול מעשה מרכבה ודבר קטן הויות דאביי ורבא לקיים מה שנאמר (משלי ח כא) להנחיל אוהבי יש ואוצרותיהם אמלא וכי מאחר שקטן שבכולם כך גדול שבכולם על אחת כמה וכמה. אמרו עליו על יונתן בן עוזיאל שבשעה שהיה יושב ושונה ועוסק בתורה כל עוף שפורח עליו באויר מיד נשרף:,original,6.053639
3,--,Rashi on Proverbs 25:2:1,On Your Way,he,כבוד אלהים הסתר דבר . כגון מעשה מרכבה ומעשה בראשית :,hebmorph-standard,169.50182
4,--,"Kinaat Sofrim al Sefer Hamitzvot, Shorashim 14:9","Sefer HaMitzvot, Warsaw 1883",he," הקודמים שבעתים באור שבעת הימים. דמו ליכנס בטרקלין של חכמת הקבלה וסתרי תורה, ולא התקינו עצמן לפרוזדור בלימוד המשנה והגמרא, רחש לבם דבר טוב דבר גדול מעשה מרכבה, ודבר קטן בעיניהם הויות דאביי ורבא, לא אסיקו",original,3.6321836
5,--,Rashi on Pesachim 119a:2:1,Vilna Edition,he,סתרי תורה - מעשה מרכבה ומעשה בראשית:,hebmorph-standard,204.96913
6,--,Malbim on Psalms 78:5:3,On Your Way,he,"תורה,  ותחת הספורים האלה נצפנים ענינים נשגבים מסודות הבריאה והאלהות ממעשה בראשית ומרכבה וכדומה, ",ngram,21.19651
7,--,Malbim on I Kings 7:33:2,On Your Way,he,"כמעשה אופן המרכבה שבאופן של מרכבה ימצא ד' דברים, א. ",ngram,46.912525
8,--,"Shney Luchot HaBrit, Bamidbar, Torah Ohr 164",Shney Luchot Habrit by Rabbi Eliyahu Munk,en,". Nur is a kind of fire which burns one up thoroughly, as happened to the youngster who tried to penetrate into the secrets of חשמל [what is commonly known as roam מעשה מרכבה, and should not be taught to",original,4.911144
9,--,"Mishneh Torah, Foundations of the Torah 4:13",Torat Emet 363,he,. ואני אומר שאין ראוי לטיל בפרדס אלא מי שנתמלא כרסו לחם ובשר. ולחם ובשר הוא לידע האסור והמתר וכיוצא בהם משאר המצות. ואף על פי שדברים אלו דבר קטן קראו אותן חכמים שהרי אמרו חכמים דבר גדול מעשה מרכבה ודבר,original,7.8470006
10,m,"Tafsir Rasag, Exodus 14:6","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he,פאסרג מרכבה ואכד קומה מעה,ngram,22.613714
