Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Mishneh Torah, Blessings 7:13",Wikisource Mishneh Torah,he,גמרו ליטול ידיהן ונגבו ידיהן וברכו ברכת המזון והביאו את המוגמר מי שבירך ברכת המזון הוא מברך על המוגמר וכולן עונין אמן.,aggresive-ngram,108.58286
1,--,Berakhot 21a:5,Wikisource Talmud Bavli,he,אמר ר' יוחנן למדנו ברכת התורה לאחריה מן ברכת המזון מקל וחומר וברכת המזון לפניה מן ברכת התורה מקל וחומר ברכת התורה לאחריה מן ברכת המזון מקל וחומר ומה מזון שאין טעון לפניו טעון לאחריו תורה שטעונה לפניה,ngram,38.047356
2,--,"Shulchan Arukh, Orach Chayim 299:4",Torat Emet 363,he,"כשהיה אוכל וחשכה, שאמרנו שאינו צריך להפסיק, גומר סעודתו ומברך ברכת המזון על הכוס ואחר כך מבדיל עליו, ואם יש לו שני כוסות, מברך ברכת המזון על אחד ומבדיל על אחר. 
",aggresive-ngram,104.10698
3,--,"Shulchan Arukh, Orach Chayim 199:4",Torat Emet 363,he,"עובד כוכבים אין מזמנין עליו, ואפלו גר שמל ולא טבל אין מזמנין עליו; אבל גר גמור מזמנין עליו ויכול לברך ברכת המזון ולומר: על שהנחלת לאבותינו. 
",hebmorph-exact,19.734314
4,--,Rashi on Nedarim 62b:1:2,Vilna Edition,he,ולברך ראשו - בברכת המוציא ובברכת המזון:,aggresive-ngram,106.17211
5,--,Berakhot 21a:2,Wikisource Talmud Bavli,he,"שאני תפלה דלית בה מלכות שמים והרי ברכת המזון לאחריו דלית בה מלכות שמים ותנן על המזון מברך לאחריו ואינו מברך לפניו אלא ק""ש וברכת המזון דאורייתא ותפלה דרבנן:",hebmorph-standard,76.74052
6,--,Rashbam on Pesachim 105b:5:1,Vilna Edition,he,ש''מ ברבה טעונה כוס - ברכת המזון:,aggresive-ngram,128.79802
7,--,Rashi on Berakhot 17b:17:5,Vilna Edition,he,ואינו מזמן - אינו צריך לברך ברכת המזון:,aggresive-ngram,128.79645
8,--,"Shulchan Arukh, Orach Chayim 184:6",Torat Emet 363,he,"שעור אכילה לברך עליה ברכת המזון, בכזית. 
",aggresive-ngram,166.6569
9,--,"Shulchan Arukh, Orach Chayim 184:4",Wikisource Shulchan Aruch,he,אכל ואינו יודע אם בירך ברכת המזון אם לאו צריך לברך מספק מפני שהיא מן התורה:,aggresive-ngram,117.04858
