Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,m,Pilpula Charifta on Avodah Zarah 125:3,Vilna Edition,he,במס'   חולין. פרק גיד הנשה:,hebmorph-standard,148.15073
1,--,Chullin 91a:62,Wikisource Talmud Bavli,he,גיד הנשה נאסר לבני נח,hebmorph-standard,166.3283
2,--,Chullin 74b:18,Wikisource Talmud Bavli,he,"גיד הנשה מחטט אחריו בכל מקום שהוא וחותך שמנו מעיקרו דברי ר""מ",hebmorph-standard,95.04474
3,--,Chullin 90b:20,Wikisource Talmud Bavli,he,גיד הנשה של שלמים מכבדו לאמה ושל עולה חולצו לתפוח,hebmorph-standard,118.69157
4,--,Rashi on Chullin 91a:61:1,Wikisource Rashi,he,כמאן דאמר - במתניתין (לקמן דף ק:) גיד הנשה נאסר להם בעודם בני נח:,aggresive-ngram,69.07152
5,--,Chullin 69a:41,Wikisource Talmud Bavli,he,גיד הנשה נוהג בשליל וחלבו אסור דברי רבי מאיר,hebmorph-standard,118.65753
6,--,Chullin 96a:16,Wikisource Talmud Bavli,he,מתני׳ הנוטל גיד הנשה צריך שיטול את כולו,hebmorph-standard,126.085335
7,m,Rashi on Arakhin 11a:5:1,Wikisource Rashi,he,מתניתא גוזמא - דרך משניות לשנות גוזמא כגון הנך דאמר בשחיטת חולין בפרק גיד הנשה (דף צ:):,aggresive-ngram,69.07152
8,--,Makkot 22a:3,Wikisource Talmud Bavli,he,אפיק הבערה ועייל גיד הנשה של נבילה,hebmorph-standard,142.42989
9,--,Bartenura on Mishnah Chullin 7:5:1,On Your Way,he,גיד הנשה שנתבשל עם הגידים. של היתר:,hebmorph-standard,127.145134
10,m,"Beit Yosef, Yoreh Deah 68:6:1","Tur Yoreh Deah, Vilna, 1923",he,"אין מולגין גדיים וטלאים ועופות בכלי ראשון וכו' כ""כ הרשב""א בפרק גיד הנשה ובת""ה וכ""כ הר""ן בפג""ה: ",hebmorph-standard,86.234116
11,m,Pilpula Charifta on Avodah Zarah 96:8,Vilna Edition,he,"  והלכתא   כרבינא לקולא. דלעולם רב אחא ורבינא הוה רבינא לקולא בפרק גיד הנשה דף צ""ג: ",hebmorph-standard,85.1138
12,--,"Prisha, Yoreh Deah 64:37:1","Tur Yoreh Deah, Vilna, 1923",he," ואפי' היה בהן גיד הנשה פי' אע""פ שהוא באורייתא והטעם לפי שאין בגידין טעם: ",ngram,34.76964
13,--,Genesis 32:33,Tanach with Text Only,he,על־כן לא־יאכלו בני־ישראל את־גיד הנשה אשר על־כף הירך עד היום הזה כי נגע בכף־ירך יעקב בגיד הנשה,hebmorph-standard,117.292175
14,--,"Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 6:4:3",Torat Emet 363,he,"ומ''ש ומסיר גיד הנשה בראש המזבח ומשליכו ע''ג הדשן שבאמצע המזבח. מימרא בר''פ גיד הנשה (דף צ'): 
",hebmorph-standard,105.32296
15,--,"Mishneh Torah, Negative Mitzvot 183",Wikisource Mishneh Torah,he,"שלא לאכול גיד הנשה, שנאמר ""על כן לא יאכלו בני ישראל את גיד הנשה"" (בראשית לב,לג).",hebmorph-standard,104.78843
16,m,Pilpula Charifta on Bava Batra 73:1,Vilna Edition,he,"  ה""ג   דתניא ובנמצא כו'. והוא בפרק גיד הנשה דף צ""ה: ",hebmorph-standard,105.75417
17,--,Chullin 89b:18,Wikisource Talmud Bavli,he,ירך שנתבשל בה גיד הנשה אם יש בה בנותן טעם הרי זו אסורה,hebmorph-standard,105.224846
18,--,Chullin 91a:60,Wikisource Talmud Bavli,he,"(בראשית מג, טז) וטבוח טבח והכן פרע להן בית השחיטה והכן טול גיד הנשה בפניהם",hebmorph-standard,101.47687
19,--,Rashi on Chullin 69a:41:1,Wikisource Rashi,he,נוהג בשליל - גיד הנשה וחלבו של שליל אסור:,hebmorph-standard,106.39226
20,m,"Kessef Mishneh on Mishneh Torah, Heave Offerings 15:19:1",Torat Emet 363,he,"קדרה שבישל בה תרומה וכו'. ברייתא בפרק גיד הנשה עלה צ''ז. 
",hebmorph-standard,85.1138
21,--,Chullin 92b:21,Wikisource Talmud Bavli,he,"גיד הנשה מחטט אחריו בכל מקום שהוא וחותך שמנו מעיקרו דברי ר""מ",hebmorph-standard,95.04474
22,m,Rashi on Chullin 138b:26:1,Wikisource Rashi,he,ולאו מי אוקימנא ליה - בפרק גיד הנשה (לעיל דף פט:):,hebmorph-standard,105.852295
23,--,Rashi on Chullin 138b:23:3,Wikisource Rashi,he,בר מגיד הנשה - דשלא לצורך תנייה דנוהג הוא דפשיטא לן דמשום דאקדשיה לא לפקע איסור גיד הנשה מיניה:,hebmorph-standard,90.72342
24,--,Chullin 96b:16,Wikisource Talmud Bavli,he,מתני׳ ירך שנתבשל בה גיד הנשה אם יש בה בנותן טעם הרי זו אסורה,hebmorph-standard,95.437614
25,--,Metzudat Zion on Isaiah 19:5:1,On Your Way,he,ונשתו. ענין העתקה והסרה וכן גיד הנשה (שם ל״ב):,hebmorph-standard,105.75417
26,--,Rashi on Chullin 89b:3:1,Wikisource Rashi,he,מתני' גיד הנשה:,hebmorph-standard,169.36368
27,--,Chullin 91a:58,Wikisource Talmud Bavli,he,דבר שלח ביעקב זה גיד הנשה ונפל בישראל שפשט איסורו בכל ישראל,hebmorph-standard,94.926025
28,--,"Beit Yosef, Yoreh Deah 65:15:1","Tur Yoreh Deah, Vilna, 1923",he,"גיד הנשה נוהג בכל בהמה וחיה ריש פרק ג""ה (סט:) נוהג בבהמה וחיה: ",hebmorph-standard,94.72398
29,--,"Guide for the Perplexed, Part 3 48:6","Moreh Nevuchim, translated by Ibn Tibon",he,וטעם 'גיד הנשה' כתוב:,hebmorph-standard,169.36368
30,--,"Bach, Yoreh Deah 65:7:1","Tur Yoreh Deah, Vilna, 1923",he,"ומ""ש וצריך לחטט אחריהם שם תניא גיד הנשה מחטט אחריו כ""מ שהוא כו': ",hebmorph-standard,94.84244
31,--,Tosafot on Chullin 69a:35:1,Wikisource Tosafot,he,או דלמא תרי איסורי אמרינן - לאו דוקא תרי איסורי אמרינן דאיכא נמי איסור גיד הנשה:,original,23.311995
32,--,Rashbam on Bava Batra 74b:4:1,Vilna Edition,he,פתחנא ונקרינא - מינה חלב וגיד הנשה:,hebmorph-standard,89.90519
33,m,Tosafot on Zevachim 108a:25:1,Wikisource Tosafot,he,רבנן סברי מיגו - באיסור כולל פליגי כדמפרש בסוף גיד הנשה (חולין דף קא.):,original,23.20821
34,--,Chullin 101a:10,Wikisource Talmud Bavli,he,"האוכל גיד הנשה של נבלה ר""מ מחייב שתים וחכמים אומרים",hebmorph-standard,119.29702
35,--,"Sefer Hamitzvot of Rasag, Negative Commandments 63","Sefer Hamitzvot L'Rasag, Warsaw, 1914",he,וגיד הנשה,hebmorph-standard,155.49843
36,m,Pilpula Charifta on Avodah Zarah 59:2,Vilna Edition,he,"  ולטעמיה   קפילא. כדאמרינן בפ' גיד הנשה דף צ""ז ע""א: ",hebmorph-standard,105.852295
37,m,Pilpula Charifta on Bava Metzia 6:2,Vilna Edition,he,"  בשר   הנמצא שם מותר. עיין בפרק גיד הנשה סימן כ""ב: ",hebmorph-standard,106.39226
38,m,Chullin 138b:23,Wikisource Talmud Bavli,he,כל היכא דתנן בחולין ובמוקדשים לצורך לבד מגיד הנשה,hebmorph-standard,96.02201
39,--,"Beit Yosef, Yoreh Deah 64:21:1","Tur Yoreh Deah, Vilna, 1923",he,אין מולחק החלבים עם הבשר פשוט בפרק גיד הנשה (צז:):,hebmorph-standard,114.2606
40,--,Tosafot on Chullin 89b:3:1,Wikisource Tosafot,he,גיד הנשה:,hebmorph-standard,211.50835
41,--,"Prisha, Yoreh Deah 306:15:1","Tur Yoreh Deah, Vilna, 1923",he," ושומנו של גיד הנשה דינו ר""ל שלא למכור במקולין: ",hebmorph-standard,105.82194
42,--,Tosefta Chullin 7:1,Tosefta Chullin - Machon Mamre,he,גיד הנשה נוהג בכלאים ובכוי נוהג בב' יריכות בירך של ימין ובירך של שמאל ר' יהודה אומר אין נוהג אלא באחת דעת מכרעת שהיא של ימין זה הכלל כל שיש לו כף ירך גיד הנשה נוהג בו כל שאין בו כף ירך אין גיד הנשה נוהג,hebmorph-standard,103.59896
43,--,Rashi on Pesachim 47b:7:1,Vilna Edition,he,גיד הנשה של נבלה - דלוקה על אכילתו משום נבילה:,hebmorph-standard,105.75417
44,--,Chullin 100b:6,Wikisource Talmud Bavli,he,והלא מבני יעקב נאסר גיד הנשה ועדיין בהמה טמאה מותרת להן,hebmorph-standard,90.69016
