Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Mishneh Torah, Blessings 4:10",Wikisource Mishneh Torah,he,"אין מברכין על אוכל מן כל האוכלין ולא על משקה מן כל המשקין עד שיבא לפניו ואם בירך ואח""כ הביאו לפניו צריך לחזור ולברך נטל אוכל ובירך עליו ונפל מידו ונשרף או שטפו נהר נוטל אחר וחוזר ומברך עליו אע""פשהוא מאותו המין וצריך לומר ברוך שם כבוד מלכותו לעולם ועד על ברכה ראשונה כדי שלא להוציא שם שמים לבטלה עומד אדם על אמת המים ומברך ושותה אף על פי שהמים שהיו לפניו בשעת הברכה אינם המים ששתה מפני שלכך נתכוון תחלה.",hebmorph-standard,97.662994
1,--,Yoma 35b:15,William Davidson Edition - Aramaic,he,וכך היה אומר אנא השם עויתי פשעתי חטאתי לפניך אני וביתי אנא השם כפר נא לעונות ולפשעים ולחטאים שעויתי ושפשעתי ושחטאתי לפניך אני וביתי ככתוב בתורת משה עבדך כי ביום הזה יכפר וגו׳ והן עונין אחריו ברוך שם כבוד מלכותו לעולם ועד,hebmorph-standard,113.99629
2,--,Jerusalem Talmud Yoma 18a:1,Mechon Mamre Talmud Yerushalmi,he,לפשעים ולחטאים שעויתי ושפשעתי ושחטאתי לפניך אני וביתי ככתוב בתורת משה עבדך (ויקרא טז) כי ביום הזה יכפר עליכם וגו' והן עונין אחריו ברוך שם כבוד מלכותו לעולם ועד:,hebmorph-standard,82.0232
3,--,Yoma 66a:11,William Davidson Edition - Aramaic,he,והכהנים והעם העומדים בעזרה כשהיו שומעים שם המפורש שהוא יוצא מפי כהן גדול היו כורעים ומשתחוים ונופלים על פניהם ואומרים ברוך שם כבוד מלכותו לעולם ועד מסרו למי שהיה מוליכו הכל כשרין להוליכו אלא שעשו הכהנים גדולים קבע ולא היו מניחין את ישראל להוליכו,hebmorph-standard,112.95842
4,--,"Ein Yaakov (Glick Edition), Pesakhim 4:15","En Jacob, translated by SH Glick, 1916",he,תנו רבנן כיצד היו כורכין את שמע. אומרים (דברים ו ד) שמע ישראל ה׳ אלהינו ה׳ אחד ולא היו מפסיקין דברי ר״מ. רבי יהודה אומר מפסיקין היו אלא שלא היו אומרים ברוך שם כבוד מלכותו לעולם ועד. ואנן מ״ט אמרינן,hebmorph-standard,82.85595
5,--,Tikkunei Zohar 84b:1,Tikkunei Zohar,he," כבודו, ודא ברוך שם כבוד מלכותו לעולם ועד, קדוש קדוש קדוש יהו''ה צבאו''ת (ישעיהו ו ג), לקבל יקוו המים מתחת השמים אל מקום אחד (בראשית א ט) ותראה היבשה, לקבל מלא כל הארץ כבודו. ביומא שתיתאה אתקנו שית",hebmorph-standard,81.8337
6,--,Zohar 2:139b:2,Torat Emet Zohar,he,"יעקב בעא לאתקנא לתתא, ברזא דיחודא, ואתקין בכ''ד אתוון, ואינון ברוך שם כבוד מלכותו לעולם ועד. ולא אשלים לכ''ה אתוון, בגין דעד לא אתתקן משכנא. כיון דאתתקן משכנא, ואשתלים, מלה קדמאה דהוה נפיק מניה, כד אשתלים, לא מליל אלא בכ''ה אתוון, לאחזאה דהא אשתלים דא כגוונא דלעילא, דכתיב, (ויקרא א) וידבר יי' אליו מאהל מועד לאמר. הא כ''ה אתוון. 
",hebmorph-standard,93.85488
7,--,"Abarbanel on Torah, Deuteronomy 3:12:29","Torah Commentary of Yitzchak Abarbanel, Warsaw 1862",he," והזהיר עליו בענין האהבה המופלגת ושיהיו הדברים ההם על לבו בכל העתות אשר זכר. והשנון והדבור בכל עת ובכל מקום והקשירה והכתיבה. ומה ענין ברוך שם כבוד מלכותו לעולם ועד שהיו אומרין. ואמרו רבותינו בפר' מקום שנהגו (פסחים ד' נ""ו) ודברים רבה שמרע""ה לא אמרו. לזה נמריה בחשאי: ",aggresive-ngram,49.072117
8,--,"Shulchan Arukh, Orach Chayim 619:2",Wikisource Shulchan Aruch,he,בליל יום הכיפורים ומחרתו אומרים ברוך שם כבוד מלכותו לעולם ועד בקול רם:,hebmorph-standard,223.57945
9,--,Rashi on Taanit 16b:10:2,Vilna Edition,he,לא היו נוהגין כך - שיהו עונין אחריו ברוך שם כבוד מלכותו לעולם ועד אלא עונין אמן בגבולין:,hebmorph-standard,164.24603
10,--,Rashi on Pesachim 56a:9:1,Vilna Edition,he,מפני תרעומת המינין - שלא יהו אומרים עלינו שאנו מוסיפין דבר שאינו הגון בחשאי ומאן דגרסי שהיו אומרים ברוך שם כבוד מלכותו לעולם ועד מפרש שהיו אומרים אותו בקול רם כשאר הקרייה וביניהן לא היו מינין:,hebmorph-standard,117.3186
11,--,Devarim Rabbah 2:35,Daat Devarim Rabbah,he,". מהו ושמעו אל ישראל אביכם? אמר להן: אל ישראל אביכם הוא. אמרו לו: שמע ישראל ה' אלהינו ה' אחד. והוא אומר בלחישה: ברוך שם כבוד מלכותו לעולם ועד. אמר רבי לוי: ומה ישראל אומרים עכשיו? שמע אבינו ישראל, אותו הדבר שצויתנו נוהג בנו, ה' אלהינו ה' אחד:",original,17.73048
12,--,Rashi on Pesachim 56a:8:1,Vilna Edition,he,נימריה - להאי ברוך שם כבוד מלכותו בקריאת שמע:,ngram,23.362364
13,--,Zohar 3:265a:6,Torat Emet Zohar,he,"גליף ואתקין משה, כ''ה אתוון ברזא דפסוקא דיחודא, דכתיב שמע ישראל יי' אלהינו יי' אחד. ואינון כ''ה אתוון גליפין, מחקקין ברזא דלעילא. יעקב בעא לאתקנא לתתא, ברזא דיחודא, ואתקין בכ''ד אתוון, ואינון ברוך שם כבוד מלכותו לעולם ועד. ולא",hebmorph-standard,81.8337
14,--,Zohar 1:234a:2,Torat Emet Zohar,he,". בההיא שעתא קאים לה יעקב, ואמר ברוך שם כבוד מלכותו לעולם ועד, ואתיישבת שכינתא בדוכתה. ויקרא יעקב, מאי קריאה הכא. אלא קריאה, לקיימא דוכתייהו, לקיימא לון לעילא ותתא. 
",hebmorph-standard,93.61704
15,--,Rashi on Berakhot 54a:8:1,Vilna Edition,he,אומרים ברוך שם כבוד מלכותו לעולם ועד וילפינן לה מקרא דתפלת עזרא וסיעתו ואשמעינן הכא דבמקדש ראשון לא היו אומרים אלא ברוך ה' אלהי ישראל עד מן העולם:,hebmorph-standard,82.12302
16,--,Rashi on Deuteronomy 32:3:1,On Your Way,he,"כי שם ה' אקרא. הרי כי משמש בלשון כאשר, כמו (ויקרא כג) כי תבאו אל הארץ, כשאקרא ואזכיר שם ה', אתם הבו גדל לאלהינו וברכו שמו מכאן אמרו שעונין ברוך שם כבוד מלכותו אחר ברכה שבמקדש:
",ngram,18.850277
17,--,"Shulchan Arukh, Orach Chayim 25:5",Wikisource Shulchan Aruch,he," לשתיהם.  הגה: ויש אומרים לברך על של ראש על מצות תפילין אפילו לא הפסיק בינתיים (הרא""ש הלכות תפילין) (וכן פשט המנהג בבני אשכנז שמברכין שתי ברכות וטוב לומר תמיד אחר הברכה השניה ברוך שם כבוד מלכותו לעולם ועד) (מהר""י בן חביב אגור סימן ל""ח):",hebmorph-standard,87.014786
