Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,"Meshech Hochma, Emor 22","Riga, 1927",he,"לאביו בזמן שהוא שלם לא בזמן שהוא חסר. נזיר דף מ""ג ע""ב. מהיכן משמע ועוד דהול""ל לאמו כשהיא שלמה כו'. ונראה, דבכל מקום כתוב ותפשו בו אביו ואמו וכן מקלל אביו ואמו, ומכה אביו ואמו וכאן כתוב לאמו ולאביו כו",hebmorph-exact,10.406593
1,--,"Mahberet Menachem, Letter Kof 21:3","Mahberet Menahem, London, 1854.",he,"‎השני, ומדוע הקלתני (ש""ב יט, מד), ואנכי איש רש ונקלה (ש""א יח, כג), ונקלה כבוד מואב (ישעיהו טז, יד), ובזי יקלו (ש""א ב, ל), מלא פניהם קלון (תהלים פג, יז), הן קלתי (איוב מ, ד), מקלל אביו ואמו (משלי כ, כ), וקיקלון על כבודך (חבקוק ב, טז).",aggresive-ngram,55.297115
2,--,"Mei HaShiloach, Volume I, Exodus, Bo 3","Mei HaShiloach; Publication of Sifrei Izhbitza Radzin, Bnei Brak 2005.",he,", נגד זה הוא מכת חושך כמ""ש (משלי כ',כ') מקלל אביו ואמו ידעך נרו וכו'. כי באמת אף כי האדם צריך לשמוע רק לה' לבדו ולאב ואם אין באדם רק חלק קטן, אך כשהאב ואם ירצו להטות את הבן לדרכי ה' צריך לשמוע אליהם",hebmorph-exact,10.137079
3,--,"Chizkuni, Exodus 21:17:1",Chizkuni,he," נדון בחנק הקל ומקלל בסקילה, לפי שקללה שייכא אפילו לגבי מעלה וכבוד אב ואם הוקש לכבוד הקב״‎ה, אבל מכה לא שייך גבי הקב״‎ה. כמו ששנו רבותינו בקדושין נאמר מקלל אביו ואמו מות יומת ונאמר איש איש כי יקלל אלהיו",hebmorph-exact,9.983744
4,--,Rashi on Sanhedrin 85b:15:1,Wikisource Rashi,he,אין לי אלא אביו ואמו - שניהם יחד:,hebmorph-exact,9.553092
5,--,Sanhedrin 66a:15,Wikisource Talmud Bavli,he,אשר יקלל את אביו ואת אמו אין לי אלא אביו ואמו אביו שלא אמו אמו שלא אביו מניין,infreq,34.71119
6,--,Sanhedrin 66a:12,Wikisource Talmud Bavli,he,"(ויקרא כד, טז) בנקבו שם יומת מה ת""ל שם לימד על מקלל אביו ואמו שאינו חייב עד שיקללם בשם",aggresive-ngram,112.28638
7,--,Sanhedrin 53a:24,Wikisource Talmud Bavli,he,הבא על האם ועל אשת האב ועל הכלה ועל הזכור ועל הבהמה והאשה המביאה את הבהמה והמגדף והעובד עבודת כוכבים והנותן מזרעו למולך ובעל אוב וידעוני והמחלל את השבת והמקלל אביו ואמו והבא על נערה המאורסה והמסית והמדיח והמכשף ובן סורר ומורה,aggresive-ngram,62.402687
8,n,Moed Katan 24a:13,William Davidson Edition - Aramaic,he,כי תניא ההיא בכבוד אביו ואמו,hebmorph-exact,11.259504
9,--,Ibn Ezra on Leviticus 20:17:2,On Your Way,he,וטעם וראה את ערותה. או ראה כמו אביו ואמו קלל וראה כמו גלה,infreq,22.556412
10,--,Kiddushin 30b:20,William Davidson Edition - Aramaic,he,נאמר מקלל אביו ואמו מות יומת ונאמר איש איש כי יקלל אלהיו ונשא חטאו השוה הכתוב ברכת אב ואם לברכת המקום אבל בהכאה ודאי אי אפשר,aggresive-ngram,106.59499
11,--,Bartenura on Mishnah Sanhedrin 11:1:4,On Your Way,he,"שהמקלל לאחר מיתה חייב. דכתיב (שם כ׳) אביו ואמו קלל, וקרא יתירא הוא לרבות לאחר מיתה:",ngram,25.916677
12,--,Bava Metzia 94b:24,William Davidson Edition - Aramaic,he,דתניא איש אשר יקלל את אביו ואת אמו אין לי אלא אביו ואמו אביו בלא אמו אמו בלא אביו מנין תלמוד לומר אביו ואמו קלל אביו קלל אמו קלל דברי רבי יאשיה,infreq,37.97567
13,--,Leviticus 20:9,Tanach with Nikkud,he,כי־איש איש אשר יקלל את־אביו ואת־אמו מות יומת אביו ואמו קלל דמיו בו,infreq,46.611897
14,--,"Kessef Mishneh on Mishneh Torah, Foreign Worship and Customs of the Nations 2:7:2",Torat Emet 363,he,ומ''ש ויברך אותו בשם מן השמות וכו'. שם תנא עד שיברך שם בשם מה''מ אמר שמואל דאמר קרא ונוקב שם ה' בנקבו שם יומת ופירש''י להכי הדריה בהאי קרא לומר עד שיקוב שם בשם. אך ק''ל דתנן בההוא פרקא גבי מקלל אביו ואמו קללם,aggresive-ngram,52.26175
15,--,"Ein Yaakov (Glick Edition), Kiddushin 1:13","En Jacob, translated by SH Glick, 1916",he,מוראת אב ואם למוראת המקום נאמר (שמות כא יז) מקלל אביו ואמו מות יומת ונאמר (ויקרא כד טו) איש איש כי יקלל אלהיו ונשא חטאו השוה הכתוב ברכת אב ואם לברכת המקום אבל בהכאה ודאי אי אפשר וכן בדין ששלשתן שותפין בו:,hebmorph-standard,27.355698
16,--,Sanhedrin 85b:16,Wikisource Talmud Bavli,he,"ת""ל אביו ואמו קלל אביו קלל אמו קלל דברי ר' יאשיה",infreq,34.590984
17,--,Sanhedrin 85b:15,Wikisource Talmud Bavli,he,אשר יקלל את אביו ואת אמו אין לי אלא אביו ואמו אביו שלא אמו אמו שלא אביו מניין,infreq,33.623558
18,n,Sanhedrin 48a:62,Wikisource Talmud Bavli,he,היו אביו ואמו מזרקין בו כלים מצוה על האחרים להצילן,hebmorph-exact,10.094235
19,--,Sanhedrin 85b:11,Wikisource Talmud Bavli,he,"ומה מכה שעשה בו שלא בעמך כבעמך לא חייב בו לאחר מיתה מקלל שלא עשה בו שלא בעמך כבעמך אינו דין שלא חייב בו לאחר מיתה ת""ל אביו ואמו קלל לאחר מיתה",ngram,29.96614
20,--,"Megilat Esther al Sefer Hamitzvot, Shorashim 2:5:2","Sefer HaMitzvot, Warsaw 1883",he," כי אזהרת מקלל אביו ואמו הוציאוהו מלא תקלל חרש ואלהים לא תקלל שמכניסין בה כל אדם, הנה זה אמת שמשם הוציאוה אמנם בבנין אב דנוה שם, והרי אם כן שלמדוה במדה מן המדות. גם מה שאמר ",aggresive-ngram,69.34239
