Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Kiddushin 16b:11,Wikisource Talmud Bavli,he,תני חדא ענק עבד עברי לעצמו וענק אמה העבריה לעצמה ותניא אידך ענק אמה העבריה ומציאתה לאביה ואין לרבה אלא שכר בטלה בלבד,ngram,28.13765
1,--,Gur Aryeh on Shemot 21:2:1,OYW,he,"או אינו אלא עבד של עברי. כי לשון ""עבד עברי "" משמע שהוא עבד כבר, ולפיכך יש לפרש עבד של עברי:",ngram,43.941505
2,--,Kiddushin 21a:20,Wikisource Talmud Bavli,he,תא שמע בכל גאולה תתנו לרבות בתים ועבד עברי מאי לאו  בתי ערי חומה ועבד עברי הנמכר לישראל  לא עבד עברי הנמכר לעובד כוכבים,hebmorph-standard,123.98549
3,--,Kiddushin 17b:4,William Davidson Edition - Aramaic,he,תנו רבנן עבד עברי עובד את הבן ואינו עובד את הבת אמה עבריה אינה עובדת לא את הבן ולא את הבת הנרצע והנמכר לנכרי אינו עובד לא את הבן ולא את הבת אמר מר עבד עברי עובד את הבן ואינו עובד את הבת מנהני מילי,original,17.444185
4,n,Rashi on Genesis 41:12:1,On Your Way,he,נער עברי עבד. ארורים הרשעים שאין טובתם שלמה מזכירו בלשון בזיון:,original,13.9359665
5,--,Kiddushin 16b:15,William Davidson Edition - Aramaic,he,אלא ענק עבד עברי לעצמו פשיטא אלא למאן אמר רב יוסף יוד קרת קא חזינא הכא,hebmorph-standard,107.53585
6,--,Kiddushin 14b:5,William Davidson Edition - Aramaic,he,אשכחן אמה העבריה הואיל ומיקדשה בכסף מיקניא בכסף עבד עברי מנלן אמר קרא כי ימכר לך אחיך העברי או העבריה ועבדך שש שנים מקיש עברי לעבריה,ngram,36.746323
7,--,Kiddushin 14b:3,William Davidson Edition - Aramaic,he,גמ׳ עבד עברי נקנה בכסף מנלן אמר קרא מכסף מקנתו מלמד שנקנה בכסף אשכחן עבד עברי הנמכר לנכרי הואיל וכל קנינו בכסף,hebmorph-standard,128.17485
8,--,Shadal on Exodus 21:2:2,"Shadal first edition, Padua 1871",he,"עבד עברי: ישראלי, ע'  רש""י וראב""ע.",hebmorph-standard,143.8956
9,--,"Sefer Hamitzvot of Rasag, Communal Laws 12","Sefer Hamitzvot L'Rasag, Warsaw, 1914",he,עבדים העברי והעבריה משפטי חקם לגלות.,aggresive-ngram,48.02523
10,n,Metzudat David on II Kings 4:1:2,On Your Way,he,"לעבדים. בעבור חוב הממון:
",aggresive-ngram,60.25833
11,n,Onkelos Exodus 36:31,Onkelos Exodus,he,ועבד עברי דאעי שטין חמשא לדפי סטר משכנא חד:,hebmorph-standard,97.76158
12,--,Rashi on Kiddushin 21a:11:2,Vilna Edition,he,לרבות בתים ועבד עברי - שיהו נגאלין לקרובים:,hebmorph-standard,117.31389
13,--,Kiddushin 69a:7,William Davidson Edition - Aramaic,he,דמנסיב ליה עצה ואמר ליה זיל גנוב ואיזדבן בעבד עברי ובשני דרבי שמלאי עבד עברי מי הוה והאמר מר אין עבד עברי נוהג אלא בזמן שהיובל נוהג אלא לאו שמע מינה רבי טרפון לכתחילה קאמר שמע מינה אמר רב יהודה אמר שמואל הלכה כרבי טרפון,hebmorph-standard,96.2141
14,--,Temurah 30a:15,Wikisource Talmud Bavli,he,שפחה לעבד עברי מישרא שריא,hebmorph-standard,109.5481
15,n,Rashbam on Bava Batra 127b:15:3,Vilna Edition,he,וחזר ואמר עבדי - כשעבר משם והלאה:,hebmorph-standard,117.31389
16,--,Ketubot 43a:11,William Davidson Edition - Aramaic,he,אבל עבד עברי דכתיב ביה עמך לא כל שכן בתו,hebmorph-standard,119.913
17,--,Rashi on Arakhin 29a:54:1,Wikisource Rashi,he,אין עבד עברי נוהג - דאינו נמכר בזמן הזה:,hebmorph-standard,120.64563
18,--,"Kessef Mishneh on Mishneh Torah, Slaves 1:7:1",Torat Emet 363,he,"כל עבד עברי וכו' עד כשהיה עושה מקודם. הכל במכילתא ובתורת כהנים: 
",hebmorph-standard,95.9304
19,--,Rashi on Kiddushin 21a:20:1,Vilna Edition,he,לרבות בתים ועבד עברי - שיהו נגאלין לקרובים:,hebmorph-standard,118.42774
20,--,Rashi on Exodus 21:3:4,On Your Way,he,"ויצאה אשתו עמו. וכי מי הכניסה שתצא, אלא מגיד הכתוב, שהקונה עבד עברי חיב במזונות אשתו ובניו:
",hebmorph-standard,96.48242
21,--,"Rabbeinu Bahya, Devarim 15:12:1","Midrash Rabbeinu Bachya [ben Asher]. Warsaw, 1878",he,"כי ימכר לך אחיך העברי או העבריה. כבר נזכר דין עבד עברי, אבל חזר ושנאו כאן מפני דין אמה העבריה לחדש ולומר שדינה כדין עבד עברי לצאת בשש, ועוד מפני מצות הענקה שחדש בשניהם כאן.
",original,17.256092
22,--,Exodus 21:2,Tanach with Nikkud,he,כי תקנה עבד עברי שש שנים יעבד ובשבעת יצא לחפשי חנם,hebmorph-standard,159.0179
23,--,Rashi on Ketubot 110b:9:1,Vilna Edition,he,גמ' לאתויי עבדים - היה לו עבד עברי ילך העבד אחריו על כרחו:,hebmorph-standard,95.9304
24,--,Kiddushin 21b:7,William Davidson Edition - Aramaic,he,אמר רבי אלעזר יודן בריבי היה דורש כשהן רוצעים אין רוצעים אלא במילתא וחכמים אומרים אין עבד עברי כהן נרצע מפני שנעשה בעל מום ואם תאמר במילתא הם רוצעים היאך עבד עברי כהן יעשה בעל מום הא אין נרצע אלא בגובה של אזן במאי קמיפלגי,original,18.118721
25,--,"Kessef Mishneh on Mishneh Torah, Slaves 2:9:1",Torat Emet 363,he,"כל עבד עברי או עבריה שיצא בגרעון כסף וכו'. ברייתא בפרק קמא דקידושין עלה כ': 

",hebmorph-standard,95.7864
26,--,Rashi on Bava Kamma 86a:8:1,Vilna Edition,he,"ה""ג הקוטע יד עבד עברי של חבירו - קוטע ממש דאין סופו לחזור:",hebmorph-standard,96.695854
27,--,Kiddushin 21a:8,William Davidson Edition - Aramaic,he,אמר ליה רבינא משום דאיכא למימר עבד עברי הנמכר לנכרי יוכיח שיפה כחו ליגאל בשנה שניה ואין לוה וגואל וגואל לחצאין,original,17.457247
28,--,"Kessef Mishneh on Mishneh Torah, Slaves 1:1:1",Torat Emet 363,he,"ועל זה שמכרוהו בית דין הוא אומר כי תקנה עבד עברי. במכילתא: 
",hebmorph-standard,96.5165
29,--,Kiddushin 21a:11,William Davidson Edition - Aramaic,he,איתיביה בכל גאלה תתנו לרבות בתים ועבד עברי מאי לאו בתי ערי חומה לא בתי חצרים,hebmorph-standard,97.30096
30,--,Arakhin 25b:11,Wikisource Talmud Bavli,he,מרבה אני הבן שכן קם תחת אביו ליעידה ולעבד עברי,aggresive-ngram,45.958572
31,--,Rashi on Eruvin 82b:8:1,Vilna Edition,he,אשה מאי שנא - מעבד עברי ובנו ובתו הגדולים:,hebmorph-standard,98.506744
32,--,Kiddushin 18a:14,Wikisource Talmud Bavli,he,אלא אמר אביי בעל כרחיה דאב משום פגם משפחה אי הכי עבד עברי נמי נכפינהו לבני משפחה משום פגם משפחה הדר אזיל ומזבין נפשיה,original,17.223078
33,--,Rashi on Kiddushin 8a:2:1,Vilna Edition,he,מכסף מקנתו - בעבד עברי כתיב:,hebmorph-standard,96.89718
34,--,Rashbam on Leviticus 25:10:2,Rashbam on Leviticus - Daat,he,ואיש אל משפחתו - עבד עברי חוזר חפשי ביובל.,hebmorph-standard,119.732994
35,--,Kiddushin 21a:21,William Davidson Edition - Aramaic,he,עבד עברי הנמכר לנכרי בהדיא כתיב ביה או דדו או בן דדו יגאלנו,hebmorph-standard,96.5165
36,--,Rashi on Rosh Hashanah 9b:4:1,WikiSource Rashi,he,שאפשר לעולם בלא שילוח עבדים - פעמים שאין עבד עברי בישראל שיטעון שילוח:,hebmorph-standard,96.695854
37,--,Rashi on Kiddushin 17b:14:1,Vilna Edition,he,דבר תורה - מדאיצטריך למעוטי עבד עברי:,hebmorph-standard,145.04378
38,n,Metzudat David on Jeremiah 25:14:1,On Your Way,he,כי עבדו. עבר במקום עתיד רצה לומר יעבדו בבבל:,hebmorph-standard,97.88093
39,--,Ikar Tosafot Yom Tov on Mishnah Megillah 4:3:9,On Your Way,he,כמה הוא יפה למכור בשוק ור'ל עבד עברי דזה הוא שוה להמכר:,hebmorph-standard,95.9304
40,--,Metzudat David on Jeremiah 34:15:2,On Your Way,he,לרעהו. לעבדו העברי:,hebmorph-standard,156.65369
