Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Rashi on Ketubot 56b:9:2,Vilna Edition,he,מפני תיקון העולם - שמא יאבדו או יפחתו דמיהן:,hebmorph-standard,65.82319
1,--,Havot Yair 137:6,"Chavot Yair, Lemberg, 1896",he,"אבל צ""ע בש""ע ח""מ ס""ס כ""ו דמשמע דצריך להחזיר לזה כל מה שהוצאי ע""י ערכאות יותר ממה שהיה מתחייב ע""פ הד""ת כ""ש בכה""ג ובכה""ג צ""ע רב בשוכר עדי שקר והוציא ע""פ ממון מחבירו והודה שעידי שקר היו רק שבאמת הי' חייב לו אף ע""פ דודאי אשר לא טוב עשה מ""מ מצד הסברא פטור מדין שמים מצד הממון וגם חבירו אינו יכול לתבעו מאחר שהוא מוזחק ויש לו מיגו לומר עדי אמת היו ובזה יפה כחו מנדון הנ""ל דאין לו מיגו לומר שבדין עשה. מ""מ בשניהם י""ל דקנסוהו חז""ל מפני תיקון עולם. ",hebmorph-exact,1.17943
2,--,Gittin 46b:4,William Davidson Edition - Aramaic,he,רבינא אמר לעולם אסיפא והכי קתני אין בזו מפני תיקון העולם,hebmorph-standard,59.289635
3,--,Gittin 46b:3,William Davidson Edition - Aramaic,he,מפני תיקון העולם מאי תיקון העולם איכא אמר רב ששת ארישא,hebmorph-standard,83.698425
4,--,"Prisha, Choshen Mishpat 115:2:1","Tur Choshen Mishpat: Vilna, 1923",he,"] ועד""ר: השבח פי' חצי השבח שנטל המלוה אינו גובה אלא מבנ""ח מפני תיקון עולם כיון דאין קול להשבח לא ידעי הלקוחות להזהר: ",original,1.1772883
5,--,Rashi on Gittin 34b:8:2,Vilna Edition,he,מפני תיקון העולם - אכולהו קאי גבי אלמנה שיהו נשים נשאות לבעלים ולא תדאגנה להפסיד כתובתן וגבי חותמין מפרש בגמרא מאי תיקון איכא:,aggresive-ngram,12.037636
6,--,Havot Yair 147:7,"Chavot Yair, Lemberg, 1896",he," לדיין לחתום רק נכוף למסרב לקיים הפסק כאלו חתום גם השלישי וכך האמת והמנהג הפשוט ונעשה כמה פעמים בק""ק וורמיש""א החריבה בעו""ה תוב""ב אם אין הבעל דבר מבקש לכוף הדיין. מ""מ כשמבקש יש לכופו מפני תיקון עולם ולענשו",original,0.9810736
7,--,Rashi on Ketubot 56b:10:1,Vilna Edition,he,אין עושין קאמר - ופחיתה נמי בכלל תיקון העולם היא:,hebmorph-standard,66.09509
8,--,Yachin on Mishnah Gittin 5:1:1,"Mishnah, ed. Romm, Vilna 1913",he,"הנזקין שמין להם בעידית לשון עדי ותפארת, כלומר ארץ מקושטת [מיהו תרגום של נאות אלדים. עידית אלדים. ש""מ דלשון ישוב הוא, ארץ מיושבת ונאה]. ומדאורייתא ניזק משתלם כעידית שלו, רק משום תיקון עולם כדי שיהא",original,1.3819942
9,--,Tosafot on Gittin 51a:17:1,Vilna Edition,he,וכי מה תקון העולם יש בזה והלא אין קצובין - פי' בקונטרס ומן הדין בלא תיקון העולם אין לגבות ממשעבדי כיון דאין קצובין וקשה דהא ר' חנינא דאמר לפי שאין קצובין קאי לפרושי מפני תיקון העולם דמתני' לכך נראה,hebmorph-standard,61.731064
