Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Ritva on Avodah Zarah 49a:4,"Orian Tlita'i, Salonika, 1758.",he,ההוא גנתא דאזדבלה בזבל עבודה זרה שבא מדם. פר״שי ז״ל בזבל עבודה זרה שבא מדם ופרש עגלים שנקרבו לעבודה זרה ואסירי בהנאה אבל אמר זבל זה לעבודה זרה אינו נאסר שאין הקדש לעבודה זרה.,aggresive-ngram,82.77481
1,--,Metzudat Zion on Judges 17:3:1,On Your Way,he,"פסל ומסכה. ׳פסל׳, דמות עבודה זרה הנעשה במלאכת יד, ׳ומסכה׳, עבודה זרה על ידי יציקת המתכת:
",hebmorph-standard,106.75272
2,--,Rashi on Deuteronomy 17:2:1,On Your Way,he,"לעבר בריתו. אשר כרת אתכם שלא לעבוד עבודה זרה:
",hebmorph-standard,94.100464
3,--,Mishnah Avodah Zarah 4:4,"Mishnah, ed. Romm, Vilna 1913",he,עבודה זרה של נכרי. אסורה מיד. ושל ישראל. אין אסורה עד שתיעבד. נכרי מבטל עבודה זרה שלו. ושל חברו. וישראל אין מבטל עבודה זרה של נכרי. המבטל עבודה זרה ביטל משמשיה. ביטל משמשיה. משמשיה מותרין. והיא אסורה:,hebmorph-standard,143.22348
4,--,Metzudat Zion on I Samuel 5:2:1,On Your Way,he,דגון. שם עבודה זרה:,hebmorph-standard,150.97115
5,--,Nedarim 87a:8,William Davidson Edition - Aramaic,he,והילכתא תוך כדי דבור כדבור דמי חוץ ממגדף ועובד עבודה זרה ומקדש ומגרש,hebmorph-standard,105.95311
6,--,Rashi on Bekhorot 57a:24:1,Vilna Edition,he,מוקצה - שהפרישוהו להקריבו לעבודה זרה:,aggresive-ngram,94.60649
7,--,Ikar Tosafot Yom Tov on Mishnah Temurah 2:1:3,On Your Way,he,"ולאפוקי פר הבא על כל המצות, ושעירי עבודה זרה:",hebmorph-standard,94.40235
8,--,Yevamot 9a:6,William Davidson Edition - Aramaic,he,ולא בעבודה זרה אלא על דבר שחייבין על זדונו כרת ועל שגגתו חטאת צבור בעבודה זרה יליף מעיני מעיני,aggresive-ngram,82.84186
9,--,Yevamot 9a:10,William Davidson Edition - Aramaic,he,הוקשה כל התורה כולה לעבודה זרה מה עבודה זרה דבר שחייבין על זדונו כרת ועל שגגתו חטאת אף כל דבר שחייבין על זדונו כרת ועל שגגתו חטאת,hebmorph-standard,27.434292
10,--,Temurah 15b:9,Wikisource Talmud Bavli,he,על עבודה זרה שעשו בימי צדקיהו,hebmorph-standard,125.93774
11,--,Avodah Zarah 76b:24,Wikisource Talmud Bavli,he,הדרן עלך השוכר את הפועל וסליקא לה מסכת עבודה זרה,hebmorph-standard,94.860664
12,--,Bartenura on Mishnah Sanhedrin 9:6:2,On Your Way,he,והמקלל בקוסם. המברך את השם בשם עבודה זרה:,hebmorph-standard,94.100464
13,--,Yoma 9b:3,William Davidson Edition - Aramaic,he,מקדש ראשון מפני מה חרב מפני שלשה דברים שהיו בו עבודה זרה וגלוי עריות ושפיכות דמים עבודה זרה דכתיב כי קצר המצע מהשתרע,original,22.495577
14,--,Rashi on Deuteronomy 12:3:2,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"מצּבה. שׁל אבן אחת, והוּא בימוּס שׁשּׁנוּיה בּמּשׁנה (עבודה זרה מ""ז): אבן שׁחצבהּ מתּחלּתהּ לבימוּס:",original,22.64726
15,--,Mishnah Sanhedrin 8:7,Torat Emet 357,he,"ואלו הן שמצילין אותן בנפשן, הרודף אחר חברו להרגו, אחר הזכור ואחר הנערה המארסה. אבל הרודף אחר בהמה, והמחלל את השבת, והעובד עבודה זרה, אין מצילין אותן בנפשן: 
",original,21.833576
16,--,Rashi on Exodus 18:11:2,On Your Way,he,מכל האלהים. מלמד שהיה מכיר בכל עבודה זרה שבעולם שלא הניח עבודה זרה שלא עבדה:,hebmorph-standard,109.25955
17,--,Bartenura on Mishnah Sanhedrin 10:4:5,On Your Way,he,הרי אלו כיחידים. שעבדו עבודה זרה. וידונו בסקילה וממונן פלט:,hebmorph-standard,94.356964
18,--,Mishnah Avodah Zarah 3:6,"Mishnah, ed. Romm, Vilna 1913",he,"מי שהיה ביתו סמוך לעבודה זרה. ונפל. אסור לבנותו. כיצד יעשה כונס בתוך שלו ארבע אמות ובונה. היה שלו ושל עבודה זרה. נדון מחצה על מחצה. אבניו עציו ועפרו. מטמאין כשרץ. שנאמר (דברים ז, כו) שקץ תשקצנו. רבי",hebmorph-standard,95.72438
19,--,Mishnah Avodah Zarah 3:7,Torat Emet 357,he,"שלשה בתים הן. בית שבנוי מתחלה לעבודה זרה, הרי זה אסור. סידו וכירו לעבודה זרה וחדש, נוטל מה שחדש. הכניס לתוכה עבודה זרה והוציאה, הרי זה מתר. שלש אבנים הן. אבן שחצבה מתחלה לבימוס, הרי זו אסורה. סידה",hebmorph-standard,112.660126
20,--,Berakhot 31b:4,William Davidson Edition - Aramaic,he,אל תתן את אמתך לפני בת בליעל אמר רבי אלעזר מכאן לשכור שמתפלל כאילו עובד עבודה זרה כתיב הכא לפני בת בליעל וכתיב התם יצאו אנשים בני בליעל מקרבך מה להלן עבודה זרה אף כאן עבודה זרה,hebmorph-standard,107.99044
21,--,Bava Batra 110a:5,William Davidson Edition - Aramaic,he,והוא סבר לעבודה זרה ממש ולא היא אלא עבודה זרה עבודה שזרה לו כדאמר ליה רב לרב כהנא נטוש נבילתא בשוקא ושקול אגרא ולא תימא גברא רבא אנא וזילא בי מילתא,hebmorph-standard,99.244156
22,--,Berakhot 52b:32,William Davidson Edition - Aramaic,he,הא מדקתני סיפא אין מברכין לא על הנר ולא על הבשמים של עבודה זרה מכלל דרישא לאו בעבודה זרה עסקינן,hebmorph-standard,108.44036
23,--,Bartenura on Mishnah Avodah Zarah 3:6:1,On Your Way,he,ממוך לבית עבודה זרה. שהיה אחד מכותליו בית עבודה זרה והבית עצמו נעבד:,hebmorph-standard,106.75272
24,--,Mishnah Avodah Zarah 1:4,"Mishnah, ed. Romm, Vilna 1913",he,"עיר שיש בה עבודה זרה חוצה לה מותר. היה חוצה לה עבודה זרה. תוכה מותר. מהו לילך לשם. בזמן שהדרך מיוחדת לאותו מקום. אסור. ואם היה יכול להלך בה למקום אחר מותר. עיר שיש בה עבודה זרה. והיו בה חנויות מעוטרות. ושאינן מעוטרות. זה היה מעשה בבית שאן. ואמרו חכמים המעוטרות. אסורות, ושאינן מעוטרות מותרות: ",hebmorph-standard,100.51956
25,--,Rashi on II Kings 17:16:2,On Your Way,he,"את הבעל . עבודה זרה ששמה בעל :
",hebmorph-standard,113.24124
26,--,Metzudat Zion on Judges 11:24:1,On Your Way,he,כמוש. שם עבודה זרה:,hebmorph-standard,150.97115
27,--,Rashi on Leviticus 20:7:1,On Your Way,he,"והתקדשתם. זו פרישות עבודה זרה:
",hebmorph-standard,142.33832
28,--,Mishnah Avodah Zarah 1:3,Torat Emet 357,he,"ואלו אידיהן של גוים, קלנדא, וסטרנורא, וקרטסים, ויום גנסיא של מלכים, ויום הלידה, ויום המיתה, דברי רבי מאיר. וחכמים אומרים, כל מיתה שיש בה שרפה, יש בה עבודה זרה. ושאין בה שרפה, אין בה עבודה זרה. יום",hebmorph-exact,21.59189
29,--,Pesachim 28a:7,William Davidson Edition - Aramaic,he,אמר רבה מסתברא עבודה זרה דלים המלח קא אזלא לא בעי שחיקה חמץ דלשאר נהרות קאזיל בעי פירור אמר ליה רב יוסף אדרבה איפכא מסתברא עבודה זרה דלא ממיסה בעי שחיקה חמץ דממיס לא בעי פירור,original,22.419132
30,--,Rashi on Deuteronomy 32:37:1,On Your Way,he,ואמר. הקדוש ברוך הוא עליהם אי אלהימו. עבודה זרה שעבדו:,hebmorph-standard,94.40235
31,--,Nedarim 25a:13,William Davidson Edition - Aramaic,he,ולישבע יתהון דמקיימיתון תורה כולה תורה כולה משמע עבודה זרה דתניא חמורה עבודה זרה שכל הכופר בה כאילו מודה בתורה כולה,hebmorph-standard,94.68657
32,--,Shabbat 83a:4,William Davidson Edition - Aramaic,he,אלא רבה מתרץ לטעמיה גוי וגויה הן והיסטן ואבן מסמא שלהן עבודה זרה היא והיסטה אבל לא אבן מסמא שלה רבי עקיבא אומר עבודה זרה היא והסיטה ואבן מסמא שלה ורבי אלעזר מתרץ לטעמיה גוי וגויה הן והיסטן ואבן מסמא שלהן עבודה זרה היא ולא היסטה ורבי עקיבא אומר עבודה זרה היא והסיטה,hebmorph-standard,96.79214
33,--,Ikar Tosafot Yom Tov on Mishnah Sanhedrin 5:1:5,On Your Way,he,ביחיד העובד עבודה זרה:,hebmorph-standard,150.98833
34,--,Rashi on Shabbat 82a:13:1,Vilna Edition,he,גמ' כותלו סמוך לעבודה זרה - שהיה אותו כותל מחיצה אף לבית עבודה זרה:,hebmorph-standard,92.46108
35,--,Berakhot 61a:25,William Davidson Edition - Aramaic,he,אמר רבי יוחנן אחורי ארי ולא אחורי אשה אחורי אשה ולא אחורי עבודה זרה אחורי עבודה זרה ולא אחורי בית הכנסת בשעה שהצבור מתפללין,hebmorph-standard,107.32866
36,--,Rashi on Shabbat 82a:13:2,Vilna Edition,he,אסור לבנותו - דקמהני לעבודה זרה:,aggresive-ngram,93.99993
37,--,Rashi on Numbers 22:41:1,On Your Way,he,"במות בעל. כתרגומו לרמת דחלתיה, שם עבודה זרה:

",hebmorph-standard,93.59552
38,--,Sukkah 31b:11,William Davidson Edition - Aramaic,he,של אשרה ושל עיר הנדחת ושל אשרה פסול והאמר רבא לולב של עבודה זרה לא יטול ואם נטל כשר,original,22.873089
39,--,Shabbat 137a:9,William Davidson Edition - Aramaic,he,ושניהם לא למדוה אלא מעבודה זרה רבי אליעזר סבר כעבודה זרה מה עבודה זרה אמר רחמנא לא תעביד וכי עביד מיחייב הכא נמי לא שנא,aggresive-ngram,85.06628
40,--,Rashi on II Kings 5:16:1,On Your Way,he,"אם אקח . שדמי עבודה זרה מעורבין בו :
",hebmorph-standard,112.920555
41,--,Nedarim 25a:9,William Davidson Edition - Aramaic,he,לא עבודה זרה איקרי אלוה דכתיב ובכל אלהי מצרים וגו׳,hebmorph-standard,94.3677
42,--,Rashi on Genesis 35:2:3,On Your Way,he,"והחליפו שמלתיכם. שמא יש בידכם כסות של עבודה זרה:
",hebmorph-standard,99.15464
43,--,Rashi on Genesis 26:35:2,On Your Way,he,"ליצחק ולרבקה. שהיו עובדות עבודה זרה:

",hebmorph-standard,117.96863
44,--,Chullin 81b:10,Wikisource Talmud Bavli,he,לא שנו אלא ששחט ראשון לעבודה זרה ושני לשלחנו אבל ראשון לשלחנו ושני לעבודה זרה פטור דקם ליה בדרבה מיניה,aggresive-ngram,82.84186
45,--,Eruvin 69b:1,William Davidson Edition - Aramaic,he,עד דהוי מומר לעבודה זרה,aggresive-ngram,105.40157
46,--,Rashi on Numbers 15:27:1,On Your Way,he,תחטא בשגגה. בעבודה זרה:,aggresive-ngram,108.13656
47,--,Rashi on Ketubot 46a:7:1,Vilna Edition,he,לכדרבי פנחס - במסכת עבודה זרה:,hebmorph-standard,132.11478
48,--,Bartenura on Mishnah Horayot 2:3:4,On Your Way,he,ובעבודה זרה אין חייבין. (ובעבודה זרה) שבית דין ששגגו בהוראה בעבודה זרה חייבין פר ושעיר:,aggresive-ngram,93.64901
49,--,Shabbat 82a:12,William Davidson Edition - Aramaic,he,מתני׳ אמר רבי עקיבא מניין לעבודה זרה שמטמאה במשא כנדה שנאמר תזרם כמו דוה צא תאמר לו מה נדה מטמאה במשא אף עבודה זרה מטמאה במשא,hebmorph-standard,92.0501
50,--,Rashi on Genesis 26:14:1,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"ועבדה רבה פּעלּה רבּה בּלשׁוֹן לעבודה זרה אוברי""נא, עבוֹדה משׁמע עבוֹדה אחת; עבדּה משׁמע פּעלּה רבּה:",original,16.104124
51,--,Mishnah Berakhot 9:1,Torat Emet 357,he,"הרואה מקום שנעשו בו נסים לישראל, אומר ברוך שעשה נסים לאבותינו במקום הזה. מקום שנעקרה ממנו עבודה זרה, אומר ברוך שעקר עבודה זרה מארצנו: 
",hebmorph-standard,113.61829
52,--,Nedarim 18b:2,Wikisource Talmud Bavli,he,אם בשל עבודה זרה נדר מותר ואם סתם אסור,hebmorph-standard,117.303734
53,--,Eruvin 18b:9,William Davidson Edition - Aramaic,he,אמר רבי יוחנן אחרי ארי ולא אחרי אשה אחרי אשה ולא אחרי עבודה זרה אחורי עבודה זרה ולא אחורי בית הכנסת בשעה שמתפללין,hebmorph-standard,100.3218
