Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,,Rashi on Megillah 5a:2:1,Vilna Edition,he,שלא בזמנה - כגון כפרים המקדימין ליום הכניסה אין קורין אותה אלא בעשרה דבעינן פרסום ניסא:,ngram,11.332446
1,,Ritva on Rosh Hashanah 18b:6,"Chiddushei HaRitva, Konigsberg, 1858.",he,א״ר יוסף שאני וכו'. דקס״ד דמשום מצוה דידה לא בטלה וא״ל אביי ותבטל מצוה דהא עיקר התקנה י״ט היה אלא ה״ק שאני חנוכה דמיפרסם ניסא משום דאיכא מצוה כלומר שע״י המצוה נתפרסם הנס בי״ט זה וא״א לבטלו ואפשר לומר דאביי מפרש הוא דברי רב יוסף אלא דלישנא דא״ל אביי ולא אמר מתקיף לה אביי משמע דמפלג פליג:,aggresive-ngram,37.213898
2,n,"Prisha, Even HaEzer 169:10:1","Tur Even HaEzer, Vilna, 1923",he,במותב תלתא הוינא דהשנים אינם אלא לפרסום:,ngram,9.177829
3,,Kol Bo 45:35,Kol Bo 1547 Venice Unknown Publisher,he,על פה לא יצא. ונהגו לרוב פרסום הנס לקרא כל הקהל בקול רם ארבע פסוקים של מגלה ואחר כך חוזר החזן וקוראם אחריהם והם איש יהודי. ומרדכי יצא. ליהודים. כי מרדכי. ואחר קריאת המגלה מברך הרב את ריבנו כאשר כתבנו,aggresive-ngram,5.921395
4,m,Pesachim 108b:1,William Davidson Edition - Aramaic,he,שאף הן היו באותו הנס,infreq,17.855682
5,n,Malbim on Isaiah 46:11:7,On Your Way,he,"אף אעשנה וגמרתי את היצירה הלז שהוא הנס, וא''כ 
",infreq,9.614608
6,n,Rashi on Shabbat 88a:5:4,Vilna Edition,he,בימי אחשורוש - מאהבת הנס שנעשה להם:,infreq,11.53753
7,,"Commentary on Sefer Hamitzvot of Rasag, Positive Commandments 59:16","Sefer Hamitzvot L'Rasag, Warsaw, 1914 -- vol. 1",he,". ועל זה לא הוה פריך היכן צונו. אלא דפריך על מה שמברכין אקב""ו להדליק נר ש""ח וא""כ המצוה היא דוקא בנר. ובלא הדלקת נר לא יצא י""ח. לזה פריך שפיר היכן צונו. דהא אין המצוה דאורייתא אלא לפרסם הנס. ואין זה",aggresive-ngram,22.700369
8,,Metzudat David on Isaiah 60:9:3,On Your Way,he,לשם ה׳. כ״ז יהיה בעבור פרסום שם ה׳:,ngram,14.625387
9,,Bartenura on Mishnah Tamid 3:9:4,On Your Way,he,", הכי עדיף טפי שלא להיטיב כי אם נר אחד מן השתי נרות מזרחיות ולהניח הנר השני דולק שלא להיטיבו עד הערב, כדי לפרסם הנס שהוא דולק תמיד. ומה שמיטיב חמש של צד מערב תחילה, ולא חמש לצד מזרח ולבסוף שתים של",aggresive-ngram,18.25588
10,n,Malbim on Psalms 107:8:3,On Your Way,he,"החסד שעשה עמהם, ב. מצד הנס ",infreq,11.453124
11,,Ralbag on I Samuel 21:10:1,On Your Way,he,"לוטה בשמלה . נסתרת ומכוסת בשמלה אחרי האפוד והחשן שהי' בלשכה ששמים שם בגדי כהונה והנה שם זה החרב שם לפרסם הנס שנעשה לישראל בדבר גלית :
",aggresive-ngram,55.253277
12,n,Malbim Beur Hamilot on Psalms 42:9:1,On Your Way,he,"חסדו.  מורה על הנס (כנ''ל ל''ג ה', ל''ו ו'), ",hebmorph-standard,7.2453327
13,n,Metzudat David on Proverbs 1:20:1,On Your Way,he,"חכמות. הלא כל חכמה מהחכמות תכריז בחוץ במקום פרסום:
",ngram,14.200576
14,,Rosh on Shabbat 2:6:1,Vilna Edition,he,מעשרה. כדאמר רבינא משמיה דרבא וגם איכא פרסום הנס טפי כשהיא למטה דדבר העשוי לאור אין דרך להניחה כל כך למטה. וכן כתוב בפירוש רבינו חננאל ומצוה להניחה למטה מעשרה:,aggresive-ngram,39.29594
15,,Sforno on Leviticus 7:11:1,Sforno on Leviticus -- Da'at,he," שבעיסה', מכל מקום מיני המצות רבות עליו, וברבות הלחם יתפרסם הנס לאוכלים רבים, וכלם נאכלים בזמן קדשי קדשים שהם ליום ולילה. ",aggresive-ngram,37.213898
16,n,Mishnah Berurah 218:10,On Your Way,he,(י) אין מברכין עליו - אלא אותם שנעשה להם הנס בעצמם:,infreq,9.614608
