Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Mishnah Eruvin 10:4,Torat Emet 357,he,"זיז שלפני חלון, נותנין עליו ונוטלין ממנו בשבת. עומד אדם ברשות היחיד ומטלטל ברשות הרבים, ברשות הרבים ומטלטל ברשות היחיד, ובלבד שלא יוציא חוץ מארבע אמות: 
",hebmorph-standard,85.02637
1,--,Bava Kamma 18b:7,William Davidson Edition - Aramaic,he,אין מהיכא מייתי לה מקרן מרשות הרבים,hebmorph-standard,88.59178
2,--,Rashi on Shabbat 49b:13:1,Vilna Edition,he,דרך רשות הרבים - דאויר שבין העגלות רשות הרבים:,hebmorph-standard,107.25208
3,--,"Shulchan Arukh, Choshen Mishpat 427:4",Torat Emet 363,he,"היתה רשות הרבים גבוה מגגו, אינו זקוק למעקה, שנאמר: כי יפל הנופל ממנו (דברים כב, ח). 
",aggresive-ngram,50.15667
4,--,Bava Batra 153b:4,William Davidson Edition - Aramaic,he,אמר רבי אלעזר ולטומאה כמחלוקת דתנן בקעה בימות החמה רשות היחיד לשבת ורשות הרבים לטומאה,ngram,36.289093
5,--,Ketubot 24b:6,Wikisource Talmud Bavli,he,דסמיכא לרשות הרבים ומשום חיפופי רשות הרבים,hebmorph-standard,132.05138
6,--,Eruvin 91a:1,William Davidson Edition - Aramaic,he,קרפיפות רשות לעצמן לדברי חכמים גגין וחצירות רשות אחת קרפיפות רשות אחת הן לדברי רבי שמעון כולן רשות אחת הן,hebmorph-standard,23.420687
7,--,"Mishneh Torah, Other Sources of Defilement 20:10",Torat Emet 363,he,"מקום שהיה רשות היחיד ונעשה רשות הרבים וחזר ונעשה רשות היחיד כשהוא רשות היחיד ספקו טמא וכשהוא רשות הרבים ספקו טהור: 
",aggresive-ngram,50.320354
8,--,Bava Kamma 14a:26,William Davidson Edition - Aramaic,he,דלגבי שן הויא לה חצר הניזק לגבי קרן הויא לה רשות הרבים,aggresive-ngram,50.15667
9,--,Shabbat 6a:11,William Davidson Edition - Aramaic,he,ואיזו היא רשות הרבים סרטיא ופלטיא גדולה ומבואות המפולשין זו היא רשות הרבים גמורה אין מוציאין רשות היחיד זו לרשות הרבים זו ואין מכניסין מרשות הרבים זו לרשות היחיד זו ואם הוציא והכניס בשוגג חייב חטאת במזיד ענוש כרת ונסקל,hebmorph-standard,104.19041
10,--,Mishnah Bava Kamma 3:7,"Mishnah, ed. Romm, Vilna 1913",he,המבקע ברשות היחיד והזיק ברשות הרבים. ברשות הרבים והזיק ברשות היחיד. ברשות היחיד והזיק ברשות היחיד אחר. חייב:,hebmorph-standard,103.99264
11,--,Eruvin 101a:13,Wikisource Talmud Bavli,he,גמ׳ ורבנן אמר רבי מאיר רשות הרבים ומהדרו אינהו כרמלית דאמר רבה בר בר חנה אמר רבי יוחנן ירושלים אלמלא דלתותיה ננעלות בלילה חייבין עליה משום רשות הרבים,hebmorph-standard,84.34457
12,--,Rashi on Niddah 3a:4:1,Vilna Edition,he,סוטה ברשות הרבים טהורה - אין רשות הרבים מקום סתירה:,hebmorph-standard,97.90731
13,--,"Mishneh Torah, Divorce 9:3",Wikisource Mishneh Torah,he,הלכה והניחתו בצדי רשות הרבים ונגנב או אבד משם לאחר שלשים יום הרי זו מגורשת הואיל והיה הגט קיים ביום שמתגרשת בו וייחדה אותו במקום שאינו רשות הרבים שצדי רשות הרבים אינן כרשות הרבים.,aggresive-ngram,51.154575
14,--,Bartenura on Mishnah Shabbat 1:1:15,On Your Way,he,והוציא. העני והניח ברשות הרבים:,hebmorph-standard,86.24964
15,--,Rashi on Eruvin 97b:21:2,Vilna Edition,he,"וקמה רשות הרבים - ולפניה רשות הרבים וקאמר מתני' אע""ג דמונח ראשו ברשות הרבים גוללו ברשות היחיד:",hebmorph-standard,98.85952
16,--,Eruvin 67a:5,William Davidson Edition - Aramaic,he,בעא מיניה רב חסדא מרב ששת שני בתים משני צידי רשות הרבים ובאו גוים והקיפום מחיצה בשבת מהו,aggresive-ngram,51.256542
17,--,Rashi on Shabbat 8b:6:5,Vilna Edition,he,חייב - שהוא כרשות הרבים גמורה:,hebmorph-standard,86.24964
18,--,Bava Batra 85a:2,William Davidson Edition - Aramaic,he,אמר רב פפא לא פליגי כאן ברשות הרבים כאן בסימטא ואמאי קרו לה רשות הרבים שאין רשות היחיד,ngram,37.416943
19,--,Shabbat 117a:6,William Davidson Edition - Aramaic,he,ותרוייהו אליבא דרבי יהודה דתניא יתר על כן אמר רבי יהודה מי שיש לו שני בתים בשני צדי רשות הרבים עושה לחי מיכן ולחי מיכן או קורה מיכן וקורה מיכן ונושא ונותן באמצע אמרו לו אין מערבין רשות הרבים בכך,aggresive-ngram,49.81684
