Id,Relevance,Ref,Version,Lang,Content,Field,Score
0,--,Radak on Genesis 25:28:1,"Presburg : A. Schmid, 1842",he," ויאהב יצחק את עשו . אין צריך לומר כי יעקב היה אוהב, כי יותר היה אוהב יעקב מעשו, ולא היה אוהב עשו אלא שהיה מביא ציד למאכלו ",hebmorph-standard,46.250225
1,--,Midrash Tanchuma 1:6:9,Tsel Midrash Tanchuma,he," ביצחק אבינו ובאברהם אבינו, אברהם נתברך, שנאמר (בראשית כד) וה' ברך את אברהם בכל, יצחק נתברך דכתיב (שם כו) ויברכהו ה', אברהם הוליד צדיק ורשע יצחק וישמעאל, יצחק הוליד צדיק ורשע יעקב ועשו, אברהם אשתו עקרה",hebmorph-exact,5.65958
2,n,Gur Aryeh on Bereishit 30:35:1,OYW,he,"ויסר לבן. ולא יעקב, שנזכר אחר זה ""ויתן ביד בניו"" וזהו ביד בניו של לבן, דודאי לא נתן ביד בניו של יעקב, שהרי בני יעקב עושים לעצמם, כמו שפירש""י למעלה (פסוק ל) ""מתי אעשה גם אנכי לביתי"". וכן ""וישם"" דכתיב בתריה (פסוק לו) גם כן קאי על לבן, דכתיב ""וישם דרך שלשת ימים בינו ובין יעקב"":",hebmorph-standard,30.733753
3,--,"Siftei Hakhamim, Genesis 25:26:4",Siftei Hakhamim,he,"ג דלפירוש ראשון קשה למה צריך לכתוב בעקב עשו מאי נפקא מיניה בזה, ובשביל סימן אין זה מספיק וכו', אבל לפי ד""א שאביו קרא לו אם כן בעקב עשו אין מיותר לגמרי כי צריך למיכתב כדי ליתן טעם מפני מה קרא לו אביו שם יעקב:  ",aggresive-ngram,22.408588
4,--,Rashi on Exodus 4:22:2,On Your Way,he,"בני בכרי. לשון גדלה, כמו (תהלים פט כח) אף אני בכור אתנהו, זהו פשוטו ומדרשו כאן חתם הקדוש ברוך הוא על מכירת הבכורה שלקח יעקב מעשו:
",hebmorph-standard,47.050785
5,--,Midrash Tehillim 18:32,OYW,he,ואויבי נתת לי עורף. הפסוק הזה מדבר ביהודה. אמר רבי יהושע בן לוי בשם רבי יהודה בר אלעאי מסורת אגדה היא יהודה הרג לעשו. אימתי בשעה שמת יצחק הלכו יעקב ועשו וכל השבטים לקבור אותו דכתיב (בראשית לה כט,hebmorph-exact,3.9487133
6,--,Teshuvot haRashba part VII 292:1,"Warsaw, 1868",he," ישמעאל ויצחק לא פרט [במהדורת ירושלים תרס""ג: פרע] אלא יצחק שנאמר כי ביצחק יקרא לך זרע וכשבא יצחק אף על פי שהיה לו יעקב ועשו לא פרע אלא יעקב ונכנס למצרים וכן לירושה אינו יורש אלא זרע שהוא מתיחס אחריו",hebmorph-exact,5.3823676
7,--,"Kedushat Levi, Genesis, Toldot 9",Kedushat Levi - Munkatch 1939,he,"בפסוק וידו אוחזת בעקב עשו (בראשית כה, כו). נראה, דהנה ידוע שהס""מ הוא שרו של עשו ויעקב אבינו היה נוצח את הדינין בכדי שהס""מ לא ישלוט בנו ויעקב בגימטריא ב' פעמים אלהים, וידוע שאלהים מורה על מדת הדין. וזהו וידו אוחזת בעקב עשו, להמתיק הדינין: ",aggresive-ngram,22.563538
8,--,Zohar 1:198b:1,Torat Emet Zohar,he," מאינון ימי רע, כדקאמרן. עון עקבי יסבני, מאן עקבי. אלין אינון ברזא דמהימנותא. דכתיב, (בראשית כה) וידו אוחזת בעקב עשו, דא הוא עקיבא. ואינון עקיבין דמסתכלין בהו תדיר בההוא חובא דדש ביה בר נש תדיר בעקבוי. 
",aggresive-ngram,19.870487
9,--,Metzudat David on Psalms 99:4:3,On Your Way,he,"משפט וצדקה. משפטי התורה ודבריה המצודקים הנתונים ביעקב מעשה ידיך המה:
",hebmorph-standard,43.499294
