yerushalmi ref,yerushalmi text,linked ref,linked text
Jerusalem Talmud Maasrot 1:1:2,כלל אמרו במעשרות כו'. כתיב (דברים יד) עשר תעשר את כל תבואת זרעך הייתי אומר כל הדברים יהו חייבין במעשרות תלמוד לומר את כל תבואת זרעך ריבה. וריבה שאר זרעוני גינה שאין נאכלין. כתיב תבואת זרעך וכתיב (שם) היוצא השדה שנה שנה. הא כיצד טול מבנתיים דבר שהוא אוכל ונשמר.,Sifrei Devarim 105:1,עשר תעשר [את כל תבואת זרעך היוצא השדה שנה שנה]. מלמד שאין מעשרים משנה לחברתה. 
Jerusalem Talmud Maasrot 1:1:2,כלל אמרו במעשרות כו'. כתיב (דברים יד) עשר תעשר את כל תבואת זרעך הייתי אומר כל הדברים יהו חייבין במעשרות תלמוד לומר את כל תבואת זרעך ריבה. וריבה שאר זרעוני גינה שאין נאכלין. כתיב תבואת זרעך וכתיב (שם) היוצא השדה שנה שנה. הא כיצד טול מבנתיים דבר שהוא אוכל ונשמר.,Mishnah Maasrot 5:8,"שׁוּם בַּעַל בֶּכִי, וּבָצָל שֶׁל רִכְפָּא, וּגְרִיסִין הַקִּילְקִין, וְהָעֲדָשִׁים הַמִּצְרִיּוֹת, רַבִּי מֵאִיר אוֹמֵר, אַף הַקַּרְקָס, רַבִּי יוֹסֵי אוֹמֵר אַף הַקּוּטְנִים, פְּטוּרִים מִן הַמַּעַשְׂרוֹת, וְנִלְקָחִין מִכָּל אָדָם בַּשְּׁבִיעִית. זֶרַע לוּף הָעֶלְיוֹן, זֶרַע כְּרֵשִׁים, זֶרַע בְּצָלִים, זֶרַע לֶפֶת וּצְנוֹנוֹת, וּשְׁאָר זֵרְעוֹנֵי גִנָּה שֶׁאֵינָן נֶאֱכָלִים, פְּטוּרִים מִן הַמַּעַשְׂרוֹת, וְנִלְקָחִין מִכָּל אָדָם בַּשְּׁבִיעִית, שֶׁאַף עַל פִּי שֶׁאֲבִיהֶן תְּרוּמָה, הֲרֵי אֵלּוּ יֵאָכֵלוּ: 
"
Jerusalem Talmud Maasrot 1:1:2,כלל אמרו במעשרות כו'. כתיב (דברים יד) עשר תעשר את כל תבואת זרעך הייתי אומר כל הדברים יהו חייבין במעשרות תלמוד לומר את כל תבואת זרעך ריבה. וריבה שאר זרעוני גינה שאין נאכלין. כתיב תבואת זרעך וכתיב (שם) היוצא השדה שנה שנה. הא כיצד טול מבנתיים דבר שהוא אוכל ונשמר.,Mishnah Maasrot 1:1,"כְּלָל אָמְרוּ בַּמַּעַשְׂרוֹת, כָּל שֶׁהוּא אֹכֶל, וְנִשְׁמָר, וְגִדּוּלָיו מִן הָאָרֶץ, חַיָּב בַּמַּעַשְׂרוֹת. וְעוֹד כְּלָל אַחֵר אָמְרוּ, כָּל שֶׁתְּחִלָּתוֹ אֹכֶל וְסוֹפוֹ אֹכֶל, אַף עַל פִּי שֶׁהוּא שׁוֹמְרוֹ לְהוֹסִיף אֹכֶל, חַיָּב קָטָן וְגָדוֹל. וְכָל שֶׁאֵין תְּחִלָּתוֹ אֹכֶל אֲבָל סוֹפוֹ אֹכֶל, אֵינוֹ חַיָּב עַד שֶׁיֵּעָשֶׂה אֹכֶל: 
"
Jerusalem Talmud Maasrot 1:1:2,כלל אמרו במעשרות כו'. כתיב (דברים יד) עשר תעשר את כל תבואת זרעך הייתי אומר כל הדברים יהו חייבין במעשרות תלמוד לומר את כל תבואת זרעך ריבה. וריבה שאר זרעוני גינה שאין נאכלין. כתיב תבואת זרעך וכתיב (שם) היוצא השדה שנה שנה. הא כיצד טול מבנתיים דבר שהוא אוכל ונשמר.,Deuteronomy 14:22,עַשֵּׂ֣ר תְּעַשֵּׂ֔ר אֵ֖ת כׇּל־תְּבוּאַ֣ת זַרְעֶ֑ךָ הַיֹּצֵ֥א הַשָּׂדֶ֖ה שָׁנָ֥ה שָׁנָֽה׃
Jerusalem Talmud Maasrot 1:1:3,אית דבעי מישמיענה מן הדא עשר תעשר כלל את כל תבואת זרעך פרט כלל ופרט אין בכלל אלא מה שבפרט. אין לי אלא תבואה קיטנית מניין תלמוד לומר (שם) וכל מעשר הארץ מזרע הארץ מפרי העץ לה' הוא לרבות זרע שום שחליים וגרגר. או יכול שאני מרבה לוף העליון וזרע כרישין זרע בצלים זרע לפת וצנונות ושאר זרעוני גינה שאינן נאכלין תלמוד לומר (שם) מזרע הארץ ולא כל זרע הארץ. פרי העץ לרבות כל פירות האילן. יכול שאני מרבה חרובה שיטה וצלמונה וחרובי גדירה תלמוד לומר (שם) מפרי העץ ולא כל פירות האילן.,Leviticus 27:30,וְכׇל־מַעְשַׂ֨ר הָאָ֜רֶץ מִזֶּ֤רַע הָאָ֙רֶץ֙ מִפְּרִ֣י הָעֵ֔ץ לַיהֹוָ֖ה ה֑וּא קֹ֖דֶשׁ לַֽיהֹוָֽה׃
Jerusalem Talmud Maasrot 1:1:3,אית דבעי מישמיענה מן הדא עשר תעשר כלל את כל תבואת זרעך פרט כלל ופרט אין בכלל אלא מה שבפרט. אין לי אלא תבואה קיטנית מניין תלמוד לומר (שם) וכל מעשר הארץ מזרע הארץ מפרי העץ לה' הוא לרבות זרע שום שחליים וגרגר. או יכול שאני מרבה לוף העליון וזרע כרישין זרע בצלים זרע לפת וצנונות ושאר זרעוני גינה שאינן נאכלין תלמוד לומר (שם) מזרע הארץ ולא כל זרע הארץ. פרי העץ לרבות כל פירות האילן. יכול שאני מרבה חרובה שיטה וצלמונה וחרובי גדירה תלמוד לומר (שם) מפרי העץ ולא כל פירות האילן.,Sifrei Devarim 105:10,"מנין לרבות ירקות למעשרות (מזרע הארץ)? ת""ל (ויקרא כז) וכל מעשר הארץ - לרבות [את הירקות]; מזרע הארץ - לרבות שום ושחליים וגרגיר. "
Jerusalem Talmud Maasrot 1:1:4,ירקות מניין איסי בן יהודא אומר המעשרות לירקות מדבריהם.,Jerusalem Talmud Challah 4:4:13,"אָמַר רִבִּי יוֹחָנָן רַבּוֹתֵינוּ שֶׁבַּגּוֹלָה הָיוּ מַפְרִישִׁין תְּרוּמָה וּמַעְשְׂרוֹת עַד שֶׁבָּאוּ הָרוֹבִין וּבִטְּלוּ אוֹתָן. מָאן אִינּוּן הָרוֹבִין תַּרְגְּמוֹנִיָּא. רִבִּי זְעִירָא רַב יְהוּדָה בְשֵׁם שְׁמוּאֵל חַלַּת חוּץ לָאָרֶץ וּתְרוּמָת חוּץ לָאָרֶץ אוֹכֵל וְאַחַר כָּךְ מַפְרִישׁ. רִבִּי בָּא בְשֵׁם שְׁמוּאֵל לֹא חָשׁוּ אֶלָּא לִתְרוּמַת דָּגָן תִּירוֹשׁ וְיִצְהָר. רִבִּי הִילָא בְשֵׁם שְׁמוּאֵל לֹא חָשׁוּ אֶלָּא לִתְרוּמָה בִּלְבָד. אֲבָל לִירָקוֹת אוֹ אֲפִילוּ לִתְרוּמָה גְדוֹלָה לֹא חָשׁוּ. כְּהָדָא <i data-overlay=""Venice Pages"" data-value=""60b""></i><i data-overlay=""Venice Columns"" data-value=""60b""></i>דְתַנִּי אִיסִּי בֶּן עֲקַבְיָה אוֹמֵר מַעְשְׂרוֹת לִירָקוֹת מִדִּבְרֵיהֶן."
Jerusalem Talmud Maasrot 1:1:5,"רב חסדא אמר הבקיר קמה וחזר וזכה בה ועבר והפריש ממנה תרומה הרי זו תרומה. מה בין קמה לשיבלין קמה עד שלא הבקירה עבר והפריש ממנה תרומה אינה תרומה שיבלין עד שלא הבקירן עבר והפריש מהן תרומה הרי זו תרומה. רב חיננא בשם רב חסדא אף בהקדש כן. מיליהון דרבנין פליגין דאמר רבי יוחנן בשם רבי ינאי (דברים יד) ובא הלוי כי אין לו חלק ונחלה עמך ממה שיש לך ואין לו את חייב ליתן לו יצא לקט שידך וידו שווין בו. היא לקט היא שכחה היא פיאה היא הבקר. אמר רבי יוחנן חבורה היה מקשה הרי הקדש הרי אין ידך וידו שווין בו כמו שידך וידו שווין בו. א""ר אילא מה נן קיימין אם בשנתמרח הכרי ברשות ההבקר וברשות ההקדש אמר התורה (שם) ראשית דגנך ולא של הבקר ראשית דגנך ולא של הקדש. אלא כי נן קיימין בשהבקיר שיבלין וחזר וזכה בהן בהבקר פטור ובהקדש חייב בהבקר פטור מן ההיא דאמר רבי יוחנן בשם ר' ינאי (שם) ובא הלוי כי אין לו חלק ונחלה עמך במה שיש לך ואין לו את חייב ליתן לו יצא הבקר שידך וידו שווין בו בהקדש חייב מן הדא הקדיש קמה ופדה קמה חייב. מה בין הבקר מה בין הקדש הבקר יצא ידי בעלים הקדש לא יצא ידי הגזבר. א""ר אבין אפילו ידי בעלים לא יצא מאחר שאמר לו פדה את ראשון.",Jerusalem Talmud Nedarim 4:10:2,"<strong><big>הלכה:</big></strong> הָיוּ מְהַלְּכִין בַּדֶּרֶךְ וְאֵין לוֹ מַה יֹאכַל כול׳. תַּנֵּי רִבִּי מֵאִיר אוֹמֵר. כֵּיוָן שֶׁאָדָם מַבְקִיר יָצָא דָבָר מֵרְשׁוּתוֹ. רִבִּי יוֹסֵי אוֹמֵר אֵין הֶבְקֵר יוֹצֵא מִתַּחַת יְדֵי הַבְּעָלִים אֶלָּא בִּזְכִייָה. <i data-commentator=""Guggenheimer Notes"" data-label=""114""></i> רִבִּי יִרְמְיָה רִבִּי בָּא בַּר חִייָה תְּרֵיהוֹן אָֽמְרִין רִבִּי יוֹחָנָן בְשֵׁם רִבִּי יַנַּאי. <i data-overlay=""Vilna Pages"" data-value=""16a""></i>דִּבְרֵי רִבִּ יוֹסֵי בְּנוֹתֵן מַתָּנָה לָעֲשָׂרָה וְזֶה אֶחָד מֵהֶן. הִבְקִיר שָׂדֵהוּ. אִית תַּנָּיֵי תַנֵּי. חוֹזֵר בּוֹ. וְאִית תַּנָּיֵי תַנֵּי. אֵינוֹ חוֹזֵר בּוֹ. רִבִּי חִזְקִיָּה רִבִי אַבָּהוּ בְשֵׁם רִבִּי שִמְעוֹן בֶּן לָקִישׁ. מָאן דָּמַר. חוֹזֵר. כְּרִבִּי יוֹסֵי. וּמָאן דָּמַר. אֵינוֹ חוֹזֵר. כְּרִבִּי מֵאִיר. הָדָא אָֽמְרָה. הֶבְקֵר כְּרִבִּי יוֹסֵי וְחַייָב בְּמַעְשְׂרוֹת. מָה אָמַר. הֶבְקֵר. לֹא מַתָּנָה. אָתָא רִבִּי יַעֲקֹב בַּר אָחָא בְשֶׁם רִבִּי שִׁמְעוֹן בֶּן לָקִישׁ. הֶבְקֵר כְּרִבִּי יוֹסֵי וְחַייָב בְּמַעְשְׂרוֹת. תַּמָּן אָֽמְרִין. הֶבְקֵר כְּרִבִּי יוֹסֵי וְאֵינוֹ חַייָב בְּמַעְשְׂרוֹת. דְּאָמַר רִבִּי יוֹחָנָן בְשֵׁם רִבִּי יַנַּאי. וּבָא הַלֵּוִי כִּי אֵין לוֹ וגו׳. מִמָּה שֶׁיֵּשׁ לָךְ וְאֵין לוֹ חַייָב אַתָּה לִיתֵּן לוֹ. יָצָא הֶבְקֵר שֶׁיָּדָךְ וְיָדוֹ שָׁוִין בָּהּ. הִיא לֶקֶט הִיא שִׁכְחָה הִיא פֵיאָה הִיא הֶבְקֵר."
Jerusalem Talmud Maasrot 1:1:5,"רב חסדא אמר הבקיר קמה וחזר וזכה בה ועבר והפריש ממנה תרומה הרי זו תרומה. מה בין קמה לשיבלין קמה עד שלא הבקירה עבר והפריש ממנה תרומה אינה תרומה שיבלין עד שלא הבקירן עבר והפריש מהן תרומה הרי זו תרומה. רב חיננא בשם רב חסדא אף בהקדש כן. מיליהון דרבנין פליגין דאמר רבי יוחנן בשם רבי ינאי (דברים יד) ובא הלוי כי אין לו חלק ונחלה עמך ממה שיש לך ואין לו את חייב ליתן לו יצא לקט שידך וידו שווין בו. היא לקט היא שכחה היא פיאה היא הבקר. אמר רבי יוחנן חבורה היה מקשה הרי הקדש הרי אין ידך וידו שווין בו כמו שידך וידו שווין בו. א""ר אילא מה נן קיימין אם בשנתמרח הכרי ברשות ההבקר וברשות ההקדש אמר התורה (שם) ראשית דגנך ולא של הבקר ראשית דגנך ולא של הקדש. אלא כי נן קיימין בשהבקיר שיבלין וחזר וזכה בהן בהבקר פטור ובהקדש חייב בהבקר פטור מן ההיא דאמר רבי יוחנן בשם ר' ינאי (שם) ובא הלוי כי אין לו חלק ונחלה עמך במה שיש לך ואין לו את חייב ליתן לו יצא הבקר שידך וידו שווין בו בהקדש חייב מן הדא הקדיש קמה ופדה קמה חייב. מה בין הבקר מה בין הקדש הבקר יצא ידי בעלים הקדש לא יצא ידי הגזבר. א""ר אבין אפילו ידי בעלים לא יצא מאחר שאמר לו פדה את ראשון.",Jerusalem Talmud Terumot 1:3:2,<strong><big>הלכה:</big></strong> רִבִּי יוֹחָנָן בְּשֵׁם רִבִּי יַנַּאי זֶה אֶחָד מִשְּׁלֹשָׁה מִקְרִיּוֹת מְחוּוָרִין שֶׁבַּתּוֹרָה וּבָא הַלֵּוִי כִּי אֵין לֹו חֵלֶק וְנַחֲלָה עִמָּךְ. מִמַּה שֶׁיֵּשׁ לָךְ וְאֵין לוֹ אַתְּ חַייָב לִיתֵּן לוֹ. יָצָא הֶבְקֵר שֶׁיָּדָךְ וְיָדוֹ שָׁוִין בּוֹ.
Jerusalem Talmud Maasrot 1:1:5,"רב חסדא אמר הבקיר קמה וחזר וזכה בה ועבר והפריש ממנה תרומה הרי זו תרומה. מה בין קמה לשיבלין קמה עד שלא הבקירה עבר והפריש ממנה תרומה אינה תרומה שיבלין עד שלא הבקירן עבר והפריש מהן תרומה הרי זו תרומה. רב חיננא בשם רב חסדא אף בהקדש כן. מיליהון דרבנין פליגין דאמר רבי יוחנן בשם רבי ינאי (דברים יד) ובא הלוי כי אין לו חלק ונחלה עמך ממה שיש לך ואין לו את חייב ליתן לו יצא לקט שידך וידו שווין בו. היא לקט היא שכחה היא פיאה היא הבקר. אמר רבי יוחנן חבורה היה מקשה הרי הקדש הרי אין ידך וידו שווין בו כמו שידך וידו שווין בו. א""ר אילא מה נן קיימין אם בשנתמרח הכרי ברשות ההבקר וברשות ההקדש אמר התורה (שם) ראשית דגנך ולא של הבקר ראשית דגנך ולא של הקדש. אלא כי נן קיימין בשהבקיר שיבלין וחזר וזכה בהן בהבקר פטור ובהקדש חייב בהבקר פטור מן ההיא דאמר רבי יוחנן בשם ר' ינאי (שם) ובא הלוי כי אין לו חלק ונחלה עמך במה שיש לך ואין לו את חייב ליתן לו יצא הבקר שידך וידו שווין בו בהקדש חייב מן הדא הקדיש קמה ופדה קמה חייב. מה בין הבקר מה בין הקדש הבקר יצא ידי בעלים הקדש לא יצא ידי הגזבר. א""ר אבין אפילו ידי בעלים לא יצא מאחר שאמר לו פדה את ראשון.",Jerusalem Talmud Orlah 1:1:6,"תַּנֵּי בְשֵׁם רִבִּי שִׁמְעוֹן אֵין לָךְ בָּא לְמַחֲשֶׁבֶת פְּטוֹר אֶלָּא שְׁלֹשֶׁת הַמִּינִין בִּלְבַד רִימוֹן וְשִׁקְמִים וּצְלָף. מַהוּ שֶׁיְּהוּ חַייָבִין בְּמַעֲשֵׂר. תַּפְלוּגְתָא דְּרִבִּי בָּא <i data-overlay=""Vilna Pages"" data-value=""1b""></i>בַּר מָמָל וּדְרִבִּי הִילָא. דְּאִיתפַלְּגוֹן הַמְּשַׁמֵּר פֵּירוֹתָיו לָעֵצִים רִבִּי בָּא בַּר מָמָל אָמַר חַייָב. רִבִּי הִילָא בְשֵׁם רִבִּי יוֹסֵי אָמַר פָּטוּר. רִבִּי בָּא בַּר מָמָל אָמַר חַייָב. מִן הָדָא וּבָא הַלֵּוִי כִּי אֵין לוֹ חֶלֶק וְנַחֲלָה עִמָּךְ. מִמָּה שֶׁיֵּשׁ לָךְ וְאֵין לוֹ אַתְּ חַייָב לִיתֵּן לוֹ. יָצָא הֶבְקֵר שֶׁיָּדָךְ וְיָדוֹ שָׁוִין בּוֹ. הוּא לֶקֶט הִיא שִׁכְחָה הִיא פֵיאָה הִיא הֶבְקֵר."
