yerushalmi ref,yerushalmi text,linked ref,linked text
Jerusalem Talmud Sotah 1:1:2,כתיב (במדבר ה) ועבר עליו רוח קנאה וקנא את אשתו וגו'. שלא יקנא לה לא מתוך שחוק ולא מתוך שיחה ולא מתוך קלות ראש ולא מתוך מתון. אלא מתוך דבר של אימה. עבר וקינא לה באחד מכלה דברים הללו. מה איתאמרת למצוה. לעיכוב. אין תימר למצוה קינויו קינוי. אין תימר לעיכוב אין קינויו קינוי. אתייא כהדא כל מקום שנאמר חוקה תורה מעכב,Numbers 5:14,וְעָבַ֨ר עָלָ֧יו רֽוּחַ־קִנְאָ֛ה וְקִנֵּ֥א אֶת־אִשְׁתּ֖וֹ וְהִ֣וא נִטְמָ֑אָה אוֹ־עָבַ֨ר עָלָ֤יו רֽוּחַ־קִנְאָה֙ וְקִנֵּ֣א אֶת־אִשְׁתּ֔וֹ וְהִ֖יא לֹ֥א נִטְמָֽאָה׃
Jerusalem Talmud Sotah 1:1:2,כתיב (במדבר ה) ועבר עליו רוח קנאה וקנא את אשתו וגו'. שלא יקנא לה לא מתוך שחוק ולא מתוך שיחה ולא מתוך קלות ראש ולא מתוך מתון. אלא מתוך דבר של אימה. עבר וקינא לה באחד מכלה דברים הללו. מה איתאמרת למצוה. לעיכוב. אין תימר למצוה קינויו קינוי. אין תימר לעיכוב אין קינויו קינוי. אתייא כהדא כל מקום שנאמר חוקה תורה מעכב,Tosefta Berakhot (Lieberman) 3:21,"אין עומדין להתפלל <i data-commentator=""Variants"" data-label=""א"" data-order=""1""></i>לא מתוך <i data-commentator=""Variants"" data-label=""ב"" data-order=""2""></i>סיחה ולא מתוך <i data-commentator=""Variants"" data-label=""ג"" data-order=""3""></i>השחוק ולא מתוך <i data-commentator=""Variants"" data-label=""ד"" data-order=""4""></i>קלות <i data-commentator=""Variants"" data-label=""ה"" data-order=""5""></i>ראש אלא מתוך <i data-commentator=""Variants"" data-label=""ו"" data-order=""6""></i>דברים של חכמה. וכן לא יפטר אדם <i data-commentator=""Variants"" data-label=""ז"" data-order=""7""></i>מחבירו לא מתוך שיחה ולא מתוך <i data-commentator=""Variants"" data-label=""ח"" data-order=""8""></i>שחוק <i data-commentator=""Variants"" data-label=""ט"" data-order=""9""></i>ולא מתוך קלות ראש אלא מתוך <i data-commentator=""Variants"" data-label=""י"" data-order=""10""></i>דברים של חכמה, שכן מצינו בנביאים הראשונים <i data-commentator=""Variants"" data-label=""יא"" data-order=""11""></i>שסיימו <i data-commentator=""Variants"" data-label=""יב"" data-order=""12""></i>דבריהם בדברי שבח <i data-commentator=""Variants"" data-label=""יג"" data-order=""13""></i>ותנחומין."
Jerusalem Talmud Sotah 1:1:2,כתיב (במדבר ה) ועבר עליו רוח קנאה וקנא את אשתו וגו'. שלא יקנא לה לא מתוך שחוק ולא מתוך שיחה ולא מתוך קלות ראש ולא מתוך מתון. אלא מתוך דבר של אימה. עבר וקינא לה באחד מכלה דברים הללו. מה איתאמרת למצוה. לעיכוב. אין תימר למצוה קינויו קינוי. אין תימר לעיכוב אין קינויו קינוי. אתייא כהדא כל מקום שנאמר חוקה תורה מעכב,Bamidbar Rabbah 9:30,"וְעָבַר עָלָיו רוּחַ קִנְאָה וְקִנֵּא אֶת אִשְׁתּוֹ <small>(במדבר ה, יד)</small>, שֶׁלֹא יְקַנֵּא לָהּ לֹא מִתּוֹךְ שְׂחוֹק וְלֹא מִתּוֹךְ שִׂיחָה וְלֹא מִתּוֹךְ קַלּוּת רֹאשׁ אֶלָּא מִתּוֹךְ דָּבָר שֶׁל אֵימָה. תַּנְיָא <small>(גמרא סוטה ב-ב)</small>: הַמְקַנֵּא לְאִשְׁתּוֹ רַבִּי אֱלִיעֶזֶר אוֹמֵר מְקַנֵּא לָהּ עַל פִּי שְׁנַיִם וּמַשְׁקֶה עַל פִּי עֵד אֶחָד אוֹ עַל פִּי עַצְמוֹ. רַבִּי יְהוֹשֻׁעַ אוֹמֵר מְקַנֵּא עַל פִּי שְׁנַיִם וּמַשְׁקֶה עַל פִּי שְׁנַיִם, מַה טַּעְמֵיהּ דְּרַבִּי יְהוֹשֻׁעַ <small>(דברים כד, א)</small>: כִּי מָצָא בָהּ עֶרְוַת דָּבָר, עֶרְוָה, זוֹ הַסְּתִירָה. דָּבָר, זֶה הַקִּנּוּי. כִּי מָצָא, אֵין מְצִיאָה בְּכָל מָקוֹם אֶלָּא בְּעֵדִים. רַבִּי אֱלִיעֶזֶר אוֹמֵר עֶרְוָה שֶׁהִיא בָּאָה מִכֹּחַ דְּבָרוֹ. כֵּיצַד הוּא מְקַנֵּא לָהּ, אוֹמֵר לָהּ בִּפְנֵי שְׁנַיִם אַל תְּדַבְּרִי עִם אִישׁ פְּלוֹנִי, וְדִבְּרָה עִמּוֹ, עֲדַיִן הִיא מֻתֶּרֶת לְבֵיתָה וּמֻתֶּרֶת לֶאֱכֹל בַּתְּרוּמָה. נִכְנְסָה עִמּוֹ לְבֵית הַסֵּתֶר וְשָׁהֲתָה כְּדֵי טֻמְאָה, אֲסוּרָה לְבֵיתָהּ וַאֲסוּרָה לֶאֱכֹל בַּתְּרוּמָה, וְאִם מֵת, חוֹלֶצֶת וְלֹא מִתְיַבֶּמֶת. אַל תְּדַבְּרִי לָשׁוֹן נָקִי הוּא מַתְנִיתָא, שֶׁאֵינוֹ אוֹמֵר אֶלָּא עַל הַטֻּמְאָה. וְקִנֵּא אֶת אִשְׁתּוֹ, רַבִּי אֱלִיעֶזֶר אוֹמֵר חוֹבָה, רַבִּי יְהוֹשֻׁעַ אוֹמֵר רְשׁוּת. אָמַר רַבִּי אֶלְעָזָר בֶּן רַבִּי יוֹסֵי קוֹמֵי רַבִּי יוֹסֵי אַתְיָא דְּרַבִּי אֱלִיעֶזֶר כְּבֵית שַׁמַּאי וְרַבִּי יְהוֹשֻׁעַ כְּבֵית הִלֵּל, דְּרַבִּי אֱלִיעֶזֶר כְּבֵית שַׁמַּאי, דְּבֵית שַׁמַּאי אוֹמְרִים לֹא יְגָרֵשׁ אָדָם אֶת אִשְׁתּוֹ אֶלָּא אִם כֵּן מָצָא בָהּ עֶרְוַת דָּבָר, מָצָא בָהּ דְּבָרִים כְּעוּרִים, לְגָרְשָׁהּ אֵינוֹ יָכוֹל שֶׁלֹא מָצָא בָהּ עֶרְוָה, לְקַיְּמָהּ אֵינוֹ יָכוֹל שֶׁמָּצָא בָהּ דְּבָרִים כְּעוּרִים, לְפוּם כֵּן הוּא אוֹמֵר חוֹבָה. וְרַבִּי יְהוֹשֻׁעַ כְּבֵית הִלֵּל, דְּבֵית הִלֵּל אוֹמְרִים אַף אִם הִקְדִּיחָה תַּבְשִׁילוֹ, לְפוּם כֵּן אוֹמֵר רְשׁוּת, רָצָה לְקַנאוֹת יְקַנֵּא לְגָרֵשׁ יְגָרֵשׁ. <small>(במדבר ה, יד)</small>: וְהִוא נִטְמָאָה אוֹ עָבַר עָלָיו וגו', הָיָה רַבִּי יִשְׁמָעֵאל אוֹמֵר מַה תַּלְמוּד לוֹמַר: וְהִוא נִטְמָאָה, וְהִיא לֹא נִטְמָאָה, אִם הִיא טְמֵאָה לָמָה שׁוֹתָה, וְאִם טְהוֹרָה הִיא לָמָּה הוּא מַשְׁקֶה, אֶלָּא בָּא הַכָּתוּב לְלַמֶּדְךָ שֶׁלְּעוֹלָם אֵין מַשְׁקִין אֶלָּא עַל הַסָּפֵק. וּמִכָּאן אַתָּה דָן לַשֶּׁרֶץ, מַה סּוֹטָה שֶׁלֹא עָשָׂה בָהּ אֹנֶס כַּרָצוֹן וְשׁוֹגֵג כַּמֵּזִיד דִּין הוּא שֶׁנַּעֲשֶׂה בוֹ סָפֵק כַּוַּדַּאי, אַף שֶׁרֶץ כֵּן. וּמַה סּוֹטָה רְשׁוּת הַיָחִיד, אַף שֶׁרֶץ רְשׁוּת הַיָּחִיד. וּמַה סּוֹטָה דָּבָר שֶׁיֵּשׁ בּוֹ דַּעַת לִשָּׁאֵל, אַף שֶׁרֶץ יֵשׁ בּוֹ דַּעַת לִשָּׁאֵל. מִכָּאן אָמְרוּ דָּבָר שֶׁיֵּשׁ לוֹ דַּעַת לִשָּׁאֵל, סָפֵק רְשׁוּת הַיָּחִיד, טָמֵא. סָפֵק רְשׁוּת הָרַבִּים, טָהוֹר. אֶת שֶׁאֵין לוֹ דַּעַת לִשָּׁאֵל, בֵּין בִּרְשׁוּת הַיָּחִיד בֵּין בִּרְשׁוּת הָרַבִּים, סְפֵקוֹ טָהוֹר."
Jerusalem Talmud Sotah 1:1:3,"הקינוי. רבי יהושע אמר בשם רבי ליעזר חובה. רבי יושוע אמר רשות. אמר רבי לעזר בן רבי יוסי קומי רבי יסא אתייא דרבי ליעזר כבית שמאי ודרבי יהושע כבית הלל. דרבי ליעזר כבית שמאי דבית שמאי אומרים לא יגרש אדם את אשתו אלא אם כן מצא בה ערוה. מצא בה דברים כאורין לגרשה אינו יכול שלא מצא בה ערוה. לקיימה אינו יכול שמצא בה דברים כאורין. לפום כן הוא אומר חובה. והא תני משום בית שמאי אין לי אלא היוצאה משום ערוה. מניין היוצאה וראשה פרוע וצדדיה מפורמין וזרעותיה חלוצות. ת""ל (דברים כד) כי מצא בה ערות דבר. אמר רבי מנא קיימתיה בעדים. וכאן שלא בעדים.",Mishnah Gittin 9:10,"בֵּית שַׁמַּאי אוֹמְרִים, לֹא יְגָרֵשׁ אָדָם אֶת אִשְׁתּוֹ אֶלָּא אִם כֵּן מָצָא בָהּ דְּבַר עֶרְוָה, שֶׁנֶּאֱמַר (דברים כד), כִּי מָצָא בָהּ עֶרְוַת דָּבָר. וּבֵית הִלֵּל אוֹמְרִים, אֲפִלּוּ הִקְדִּיחָה תַבְשִׁילוֹ, שֶׁנֶּאֱמַר (שם), כִּי מָצָא בָהּ עֶרְוַת דָּבָר. רַבִּי עֲקִיבָא אוֹמֵר, אֲפִלּוּ מָצָא אַחֶרֶת נָאָה הֵימֶנָּה, שֶׁנֶּאֱמַר (שם), וְהָיָה אִם לֹא תִמְצָא חֵן בְּעֵינָיו: 
"
Jerusalem Talmud Sotah 1:1:3,"הקינוי. רבי יהושע אמר בשם רבי ליעזר חובה. רבי יושוע אמר רשות. אמר רבי לעזר בן רבי יוסי קומי רבי יסא אתייא דרבי ליעזר כבית שמאי ודרבי יהושע כבית הלל. דרבי ליעזר כבית שמאי דבית שמאי אומרים לא יגרש אדם את אשתו אלא אם כן מצא בה ערוה. מצא בה דברים כאורין לגרשה אינו יכול שלא מצא בה ערוה. לקיימה אינו יכול שמצא בה דברים כאורין. לפום כן הוא אומר חובה. והא תני משום בית שמאי אין לי אלא היוצאה משום ערוה. מניין היוצאה וראשה פרוע וצדדיה מפורמין וזרעותיה חלוצות. ת""ל (דברים כד) כי מצא בה ערות דבר. אמר רבי מנא קיימתיה בעדים. וכאן שלא בעדים.",Jerusalem Talmud Gittin 9:11:2,<strong><big>הלכה:</big></strong> וְהָא תַנֵּי. בֵּית שַׁמַּאי אוֹמְרִים. אֵין לִי אֶלָּא הַיּוֹצֵא מִשּׁוּם עֶרְוָה בִּלְבַד. מְנַיִין הַיּוֹצְאָה וְרֹאשָׁהּ פָּרוּעַ צְדָדֶיהָ פְרוּמִים וּזְרוֹעוֹתֶיהָ חֲלוּצוֹת. תַּלמוּד לוֹמַר כִּי מָצָא בָהּ עֶרְוַת דָּבָר. מַה מְקַייְמִין דְּבֵית שַׁמַּי. שֶׁלֹּא תֹאמַר. הַיּוֹצֵא מִשּׁוּם עֶרְוָה אָסוּר. מִשּׁוּם דָּבָר אַחֵר מוּתֶּרֶת. אָמַר רִבִּי שִׁילָא דִכְפַר תָּמַרְתָּא. קִרְייָא מַקְשֵׁי עַל דְּבֵית שַׁמַּי. לֹא יוּכַל בַּעֲלָהּ הָרִאשׁוֹן אֲשֶׁר שִׁלְּחָהּ לְשׁוּב לְקַחְתָּהּ. מַה אֲנָן מְקַייְמִין. אִם לְאוֹסְרָהּ עָלָיו כְּבָר הִיא אֲסוּרָה לוֹ. אֶלָּא כֵּן אֲנָן קַייָמִין. לִיתֵּן עָלָיו בְּלֹא תַעֲשֶׂה.
Jerusalem Talmud Sotah 1:1:3,"הקינוי. רבי יהושע אמר בשם רבי ליעזר חובה. רבי יושוע אמר רשות. אמר רבי לעזר בן רבי יוסי קומי רבי יסא אתייא דרבי ליעזר כבית שמאי ודרבי יהושע כבית הלל. דרבי ליעזר כבית שמאי דבית שמאי אומרים לא יגרש אדם את אשתו אלא אם כן מצא בה ערוה. מצא בה דברים כאורין לגרשה אינו יכול שלא מצא בה ערוה. לקיימה אינו יכול שמצא בה דברים כאורין. לפום כן הוא אומר חובה. והא תני משום בית שמאי אין לי אלא היוצאה משום ערוה. מניין היוצאה וראשה פרוע וצדדיה מפורמין וזרעותיה חלוצות. ת""ל (דברים כד) כי מצא בה ערות דבר. אמר רבי מנא קיימתיה בעדים. וכאן שלא בעדים.",Deuteronomy 24:1,כִּֽי־יִקַּ֥ח אִ֛ישׁ אִשָּׁ֖ה וּבְעָלָ֑הּ וְהָיָ֞ה אִם־לֹ֧א תִמְצָא־חֵ֣ן בְּעֵינָ֗יו כִּי־מָ֤צָא בָהּ֙ עֶרְוַ֣ת דָּבָ֔ר וְכָ֨תַב לָ֜הּ סֵ֤פֶר כְּרִיתֻת֙ וְנָתַ֣ן בְּיָדָ֔הּ וְשִׁלְּחָ֖הּ מִבֵּיתֽוֹ׃
Jerusalem Talmud Sotah 1:1:4,ודרבי יהושע כבית הלל דבית הלל אמרי אפי' הקדיחה תבשילו. לפום כן הוא אומר רשות. רצה לקנאות יקנא. רצה לגרש יגרש.,Mishnah Gittin 9:10,"בֵּית שַׁמַּאי אוֹמְרִים, לֹא יְגָרֵשׁ אָדָם אֶת אִשְׁתּוֹ אֶלָּא אִם כֵּן מָצָא בָהּ דְּבַר עֶרְוָה, שֶׁנֶּאֱמַר (דברים כד), כִּי מָצָא בָהּ עֶרְוַת דָּבָר. וּבֵית הִלֵּל אוֹמְרִים, אֲפִלּוּ הִקְדִּיחָה תַבְשִׁילוֹ, שֶׁנֶּאֱמַר (שם), כִּי מָצָא בָהּ עֶרְוַת דָּבָר. רַבִּי עֲקִיבָא אוֹמֵר, אֲפִלּוּ מָצָא אַחֶרֶת נָאָה הֵימֶנָּה, שֶׁנֶּאֱמַר (שם), וְהָיָה אִם לֹא תִמְצָא חֵן בְּעֵינָיו: 
"
Jerusalem Talmud Sotah 1:1:5,ומה טעמא דרבי ליעזר כי מצא בה ערות דבר. ערוה זו סתירה. דבר זה קינוי. דבר (שם) דבר. מה דבר האמור להלן על פי שנים עדים אף דבר האמור כאן על פי שנים עדים. ומשקה על פי עד אחד או על פי עצמו. (במדבר ה) ומעלה בו בתנאים שהיתה עמה על פי אחרים.,Mishnah Sotah 6:3,"שֶׁהָיָה בְדִין, וּמָה אִם עֵדוּת רִאשׁוֹנָה שֶׁאֵין אוֹסַרְתָּהּ אִסּוּר עוֹלָם, אֵינָהּ מִתְקַיֶּמֶת בְּפָחוֹת מִשְּׁנַיִם, עֵדוּת אַחֲרוֹנָה שֶׁאוֹסַרְתָּהּ אִסּוּר עוֹלָם, אֵינוֹ דִין שֶׁלֹּא תִתְקַיֵּם בְּפָחוֹת מִשְּׁנָיִם, תַּלְמוּד לוֹמַר וְעֵד אֵין בָּהּ, כָּל עֵדוּת שֶׁיֵּשׁ בָּהּ. קַל וָחֹמֶר לָעֵדוּת הָרִאשׁוֹנָה מֵעַתָּה, וּמָה אִם עֵדוּת אַחֲרוֹנָה שֶׁאוֹסַרְתָּהּ אִסּוּר עוֹלָם, הֲרֵי הִיא מִתְקַיֶּמֶת בְּעֵד אֶחָד, עֵדוּת הָרִאשׁוֹנָה שֶׁאֵין אוֹסַרְתָּהּ אִסּוּר עוֹלָם, אֵינוֹ דִין שֶׁתִּתְקַיֵּם בְּעֵד אֶחָד, תַּלְמוּד לוֹמַר (דברים כד) כִּי מָצָא בָהּ עֶרְוַת דָּבָר, וּלְהַלָּן הוּא אוֹמֵר (שם יט), עַל פִּי שְׁנֵי עֵדִים יָקוּם דָּבָר, מַה לְּהַלָּן עַל פִּי שְׁנַיִם עֵדִים, אַף כָּאן עַל פִּי שְׁנַיִם עֵדִים: 
"
Jerusalem Talmud Sotah 1:1:5-6,"['ומה טעמא דרבי ליעזר כי מצא בה ערות דבר. ערוה זו סתירה. דבר זה קינוי. דבר (שם) דבר. מה דבר האמור להלן על פי שנים עדים אף דבר האמור כאן על פי שנים עדים. ומשקה על פי עד אחד או על פי עצמו. (במדבר ה) ומעלה בו בתנאים שהיתה עמה על פי אחרים.', 'תני ר""י בי ר\' יודה אומר משום ר\' ליעזר מקנא על פי עד אחד או על פי עצמו. ומשקה על פי שנים. נאמר כאן כי מצא בה ערות דבר. ואין מציאה בכל מקום אלא בעדים. מה מקיים ר\' ליעזר דבר. דבר שהוא מרגיל לבא לידי ערוה. עד א\' מהו שישקה. מה אם פיו שאינו זוקקו לשבועת ממון הרי הוא משקה. עד א\' שהוא זוקקו לשבועת ממון לא כל שכן. קרוב מהו שישקה. מי קרוב מבעלה. עד מפי עד מהו שישקה. מה בינו לבין הקרוב. קרוב אף על פי שאינו כשר עכשיו כשר הוא לאחר זמן. עד מפי עד אינו כשר לא עכשיו ולא לאחר זמן.']",Deuteronomy 19:15,לֹֽא־יָקוּם֩ עֵ֨ד אֶחָ֜ד בְּאִ֗ישׁ לְכׇל־עָוֺן֙ וּלְכׇל־חַטָּ֔את בְּכׇל־חֵ֖טְא אֲשֶׁ֣ר יֶֽחֱטָ֑א עַל־פִּ֣י <b>׀</b> שְׁנֵ֣י עֵדִ֗ים א֛וֹ עַל־פִּ֥י שְׁלֹשָֽׁה־עֵדִ֖ים יָק֥וּם דָּבָֽר׃
Jerusalem Talmud Sotah 1:1:6,"תני ר""י בי ר' יודה אומר משום ר' ליעזר מקנא על פי עד אחד או על פי עצמו. ומשקה על פי שנים. נאמר כאן כי מצא בה ערות דבר. ואין מציאה בכל מקום אלא בעדים. מה מקיים ר' ליעזר דבר. דבר שהוא מרגיל לבא לידי ערוה. עד א' מהו שישקה. מה אם פיו שאינו זוקקו לשבועת ממון הרי הוא משקה. עד א' שהוא זוקקו לשבועת ממון לא כל שכן. קרוב מהו שישקה. מי קרוב מבעלה. עד מפי עד מהו שישקה. מה בינו לבין הקרוב. קרוב אף על פי שאינו כשר עכשיו כשר הוא לאחר זמן. עד מפי עד אינו כשר לא עכשיו ולא לאחר זמן.",Deuteronomy 24:1,כִּֽי־יִקַּ֥ח אִ֛ישׁ אִשָּׁ֖ה וּבְעָלָ֑הּ וְהָיָ֞ה אִם־לֹ֧א תִמְצָא־חֵ֣ן בְּעֵינָ֗יו כִּי־מָ֤צָא בָהּ֙ עֶרְוַ֣ת דָּבָ֔ר וְכָ֨תַב לָ֜הּ סֵ֤פֶר כְּרִיתֻת֙ וְנָתַ֣ן בְּיָדָ֔הּ וְשִׁלְּחָ֖הּ מִבֵּיתֽוֹ׃
