yerushalmi ref,yerushalmi text,linked ref,linked text
Jerusalem Talmud Maaser Sheni 1:1:2-5,"[""מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין."", 'מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.', 'אמר רבי ירמיה מאן תנא אין מוכרין אותו רבי מאיר ברם כרבי יודן בדין הוא שיהא מותר למוכרו מקל וחומר מה אם שביעית שאין פורעין חוב מדמיה מותר למוכרה מעשר שני שפורעין חוב מדמיו אינו דין שיהא מותר למוכרו. הא אשכחנן שפורעין חוב מדמיו כיי דתנינן תמן משך הימנו מעשר בסלע ולא הספיק לפדותו עד שעמד בשתים. אמר רבי יוסי שנייא היא שמשעה ראשונה מעשר שני חייב אילו חייב היה לו ונתן לו מעשר יאות. אמר רבי יודן מתני\' אמרה כן שהוא אסור למוכרו דתנינן תמן מזיד קידש שוגג לא קידש. אם את אומר יהא מותר למוכרו יהא מותר לקדש בו. וכל שהוא אסור למוכרו אסור לקדש בו והתנינן אין לוקחין עבדים וקרקעות ובהמה טמאה מדמי שביעית ואם לקח יאכל כנגדן. א""ר יוסי זאת אומרת שאסור ליקח אשה מדמי שביעית דלכן מה בין קונה אשה מה בין קונה שפחה. רבי יוסי בשם רבי זעירא רבי יודן בשם רבי יילא דברי הכל היא מפני פילפולו. רבי יוסי בשם רבי אחא דברי הכל היא כדי שיהו הכל זקוקים למחיצתן.', 'כיצד אין ממשכנין אותו הנכנס לתוך ביתו של חבירו למשכנו אל ימשכן מעשר שני שלו. תני ולא מרהינין אותו ולא יתננו לחנווני שיאכל עליו. עבר ומשכן עבר והרהין ייבא כהדא האוכל מעשר שני שלו בין שוגג בין מזיד יצעק לשמים דברי רבן שמעון בן גמליאל. רבי אומר שוגג יצעק לשמים מזיד יחזרו דמיו למקומן. ואם היו מעות שוגג יצעק לשמים מזיד יחזרו דמיו למקומן דברי רבן שמעון בן גמליאל. רבי אומר בין שוגג בין מזיד יחזרו דמיו למקומן. רבי זריקה בשם חזקיה הלכה כרבי במעות וכרבן שמעון בן גמליאל בפירות. אמר רבי יילא מעשה היה והורו כרבי במעות.']",Jerusalem Talmud Maaser Sheni 1:2:6,רִבִּי יוֹסֵי בְשֵׁם רִבִּי יוֹחָנָן בְּהֵמָה מַעֲשֵׂר שֵׁינִי בִּירוּשָׁלֵם כְּרִבִּי מֵאִיר פְּטוּרָה מִן הַבְּכוֹרָה כְּרִבִּי יְהוּדָה חַייֶבֶת בְּבְכוֹרָה. רִבִּי יִרְמְיָה בָּעֵא קוֹמֵי רִבִּי זְעִירָא יָֽלְדָה בְּכוֹר אֵימוֹרָיו מַהוּ שֶׁיִּקְרְבוּ לְגַבֵּי מִזְבֵּחַ. וְלֹא חָל מַעֲשֵׂר שֵׁינִי עַל אֵימוֹרָיו וְלֹא נִמְצָא מַבְרִיחוֹ מִן הָאֲכִילָה. אָמַר לֵיהּ וְכִי הַלּוֹקֵחַ בְּשַׂר בְּהֵמָה לִבְשַׂר תַּאֲוָה לֹא חָל מַעֲשֵׂר שֵׁינִי עַל אֵימוֹרֶיהָ וְלֹא נִמְצָא מַבְרִיחָהּ מִן הָאֲכִילָה. אָמַר לוֹ בִּלְקִיחָתָהּ פָּֽקְעָה מִמֶּנָּהּ קְדוּשַּׁת מַעֲשֵׂר. אָמַר רִבִּי יוֹסֵי וַאֲנָן לֹא הֲוִינָן אָֽמְרִין כֵּן. אֶלָּא לֹא הִתִּירָה הַתּוֹרָה לִיקַּח בְּכֶסֶף מַעֲשֵׂר אֶלָּא שְׁלָמִים בִּלְבַד. מַה נַפְקָא מִבֵּינֵיהוֹן װְלָדָהּ בְּכוֹר וְהִקְדִּשָׁהּ שְׁלָמִים. מָאן דְּאָמַר לֹא הִתִּירָה הַתּוֹרָה לִיקַּח בְּכֶסֶף מַעֲשֵׂר אֶלָּא שְׁלָמִים בִּלְבַד קְרֵיבָה. מָאן דְּאָמַר בִּלְקִיחָתָהּ פָּֽקְעָה מִמֶּנָּהּ קְדוּשַּׁת מַעֲשֵׂר אֵינָהּ קְרֵיבָה.
Jerusalem Talmud Maaser Sheni 1:1:2,מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין.,Leviticus 27:30,וְכׇל־מַעְשַׂ֨ר הָאָ֜רֶץ מִזֶּ֤רַע הָאָ֙רֶץ֙ מִפְּרִ֣י הָעֵ֔ץ לַיהֹוָ֖ה ה֑וּא קֹ֖דֶשׁ לַֽיהֹוָֽה׃
Jerusalem Talmud Maaser Sheni 1:1:2,מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין.,Tosefta Maaser Sheni (Lieberman) 1:1,"מעשר <i data-commentator=""Variants"" data-label=""א"" data-order=""1""></i>שני אין מוכרין אותו, ואין ממשכנין אותו, <i data-commentator=""Variants"" data-label=""ב"" data-order=""2""></i>ואין מרהינין <i data-commentator=""Variants"" data-label=""ג"" data-order=""3""></i>אותו, <i data-commentator=""Variants"" data-label=""ד"" data-order=""4""></i>ואין <i data-commentator=""Variants"" data-label=""ה"" data-order=""5""></i>מחליפין אותו, ולא שוקלין כנגדו דינרי זהב, אפילו לחלל עליהן <i data-commentator=""Variants"" data-label=""ו"" data-order=""6""></i>מעשר <i data-commentator=""Variants"" data-label=""ז"" data-order=""7""></i>שני. <i data-commentator=""Variants"" data-label=""ח"" data-order=""8""></i>ולא יתנם לשולחני <i data-commentator=""Variants"" data-label=""ט"" data-order=""9""></i>להתנאות בהן, <i data-commentator=""Variants"" data-label=""י"" data-order=""10""></i>ולהלוותן להתעטר <i data-commentator=""Variants"" data-label=""יא"" data-order=""11""></i>בהן, אם בשביל שלא יעלו <i data-commentator=""Variants"" data-label=""יב"" data-order=""12""></i>חלודה <i data-commentator=""Variants"" data-label=""יג"" data-order=""13""></i>הרי זה <i data-commentator=""Variants"" data-label=""יד"" data-order=""14""></i>מותר. כיצד אין מוכרין אותו, לא יאמר לו הילך <i data-commentator=""Variants"" data-label=""טו"" data-order=""15""></i>מאתים ותן לי מנה. כיצד אין ממשכנין אותו, לא יכנס לביתו וימשכננו <i data-commentator=""Variants"" data-label=""טז"" data-order=""16""></i>(על) מעשר <i data-commentator=""Variants"" data-label=""יז"" data-order=""17""></i>שני <i data-commentator=""Variants"" data-label=""יח"" data-order=""18""></i>שלו."
Jerusalem Talmud Maaser Sheni 1:1:2-5,"[""מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין."", 'מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.', 'אמר רבי ירמיה מאן תנא אין מוכרין אותו רבי מאיר ברם כרבי יודן בדין הוא שיהא מותר למוכרו מקל וחומר מה אם שביעית שאין פורעין חוב מדמיה מותר למוכרה מעשר שני שפורעין חוב מדמיו אינו דין שיהא מותר למוכרו. הא אשכחנן שפורעין חוב מדמיו כיי דתנינן תמן משך הימנו מעשר בסלע ולא הספיק לפדותו עד שעמד בשתים. אמר רבי יוסי שנייא היא שמשעה ראשונה מעשר שני חייב אילו חייב היה לו ונתן לו מעשר יאות. אמר רבי יודן מתני\' אמרה כן שהוא אסור למוכרו דתנינן תמן מזיד קידש שוגג לא קידש. אם את אומר יהא מותר למוכרו יהא מותר לקדש בו. וכל שהוא אסור למוכרו אסור לקדש בו והתנינן אין לוקחין עבדים וקרקעות ובהמה טמאה מדמי שביעית ואם לקח יאכל כנגדן. א""ר יוסי זאת אומרת שאסור ליקח אשה מדמי שביעית דלכן מה בין קונה אשה מה בין קונה שפחה. רבי יוסי בשם רבי זעירא רבי יודן בשם רבי יילא דברי הכל היא מפני פילפולו. רבי יוסי בשם רבי אחא דברי הכל היא כדי שיהו הכל זקוקים למחיצתן.', 'כיצד אין ממשכנין אותו הנכנס לתוך ביתו של חבירו למשכנו אל ימשכן מעשר שני שלו. תני ולא מרהינין אותו ולא יתננו לחנווני שיאכל עליו. עבר ומשכן עבר והרהין ייבא כהדא האוכל מעשר שני שלו בין שוגג בין מזיד יצעק לשמים דברי רבן שמעון בן גמליאל. רבי אומר שוגג יצעק לשמים מזיד יחזרו דמיו למקומן. ואם היו מעות שוגג יצעק לשמים מזיד יחזרו דמיו למקומן דברי רבן שמעון בן גמליאל. רבי אומר בין שוגג בין מזיד יחזרו דמיו למקומן. רבי זריקה בשם חזקיה הלכה כרבי במעות וכרבן שמעון בן גמליאל בפירות. אמר רבי יילא מעשה היה והורו כרבי במעות.']",Jerusalem Talmud Maaser Sheni 5:2:18,"כְּתִיב וּבַשָּׁנָה הַחֲמִישִּׁית תֹּאכְלוּ אֶת פִּרְיוֹ לְהוֹסִיף לָכֶם וגו׳. רִבִּי יוֹסֵי הַגָּלִילִי אוֹמֵר הֲרֵי אַתְּ כְּמוֹסִיף פֵּירוֹת חֲמִישִּׁית עַל פֵּירוֹת רְבִיעִית מַה פֵּירוֹת חֲמִישִּׁית לִבְעָלִים. אַף פֵּירוֹת רְבִיעִית <i data-overlay=""Venice Pages"" data-value=""56b""></i><i data-overlay=""Venice Columns"" data-value=""56b""></i>לִבְעָלִים. רִבִּי זְעִירָא רִבִּי יָסָא בְשֵׁם רִבִּי יוֹחָנָן אַתְיָא דְּרִבִּי יוֹסֵי הַגָּלִילִי כְּרִבִּי יְהוּדָה. כְּמָה דְּרִבִּי יְהוּדָה עוֹשֶׂה אוֹתוֹ כִּנְכָסָיו כֵּן רִבִּי יוֹסֵי הַגָּלִילִי עוֹשֶׂה אוֹתוֹ כִּנְכָסָיו."
Jerusalem Talmud Maaser Sheni 1:1:2-5,"[""מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין."", 'מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.', 'אמר רבי ירמיה מאן תנא אין מוכרין אותו רבי מאיר ברם כרבי יודן בדין הוא שיהא מותר למוכרו מקל וחומר מה אם שביעית שאין פורעין חוב מדמיה מותר למוכרה מעשר שני שפורעין חוב מדמיו אינו דין שיהא מותר למוכרו. הא אשכחנן שפורעין חוב מדמיו כיי דתנינן תמן משך הימנו מעשר בסלע ולא הספיק לפדותו עד שעמד בשתים. אמר רבי יוסי שנייא היא שמשעה ראשונה מעשר שני חייב אילו חייב היה לו ונתן לו מעשר יאות. אמר רבי יודן מתני\' אמרה כן שהוא אסור למוכרו דתנינן תמן מזיד קידש שוגג לא קידש. אם את אומר יהא מותר למוכרו יהא מותר לקדש בו. וכל שהוא אסור למוכרו אסור לקדש בו והתנינן אין לוקחין עבדים וקרקעות ובהמה טמאה מדמי שביעית ואם לקח יאכל כנגדן. א""ר יוסי זאת אומרת שאסור ליקח אשה מדמי שביעית דלכן מה בין קונה אשה מה בין קונה שפחה. רבי יוסי בשם רבי זעירא רבי יודן בשם רבי יילא דברי הכל היא מפני פילפולו. רבי יוסי בשם רבי אחא דברי הכל היא כדי שיהו הכל זקוקים למחיצתן.', 'כיצד אין ממשכנין אותו הנכנס לתוך ביתו של חבירו למשכנו אל ימשכן מעשר שני שלו. תני ולא מרהינין אותו ולא יתננו לחנווני שיאכל עליו. עבר ומשכן עבר והרהין ייבא כהדא האוכל מעשר שני שלו בין שוגג בין מזיד יצעק לשמים דברי רבן שמעון בן גמליאל. רבי אומר שוגג יצעק לשמים מזיד יחזרו דמיו למקומן. ואם היו מעות שוגג יצעק לשמים מזיד יחזרו דמיו למקומן דברי רבן שמעון בן גמליאל. רבי אומר בין שוגג בין מזיד יחזרו דמיו למקומן. רבי זריקה בשם חזקיה הלכה כרבי במעות וכרבן שמעון בן גמליאל בפירות. אמר רבי יילא מעשה היה והורו כרבי במעות.']",Jerusalem Talmud Maaser Sheni 5:2:20,"רִבִּי בָּא רִבִּי חִייָה בְשֵׁם רִבִּי יוֹחָנָן עִיסַּת מַעֲשֵׂר שֵׁינִי בִּירוּשָׁלֵם כְּרִבִּי מֵאִיר פְּטוּרָה מִן הַחַלָּה כְּרִבִּי יוּדָה חַייֶבֶת בְּחַלָּה. אָמַר רִבִּי יוֹנָה <i data-commentator=""Guggenheimer Notes"" data-label=""62""></i> לֹא אָֽמְרוּ אֶלָּא בִּירוּשָׁלֵם אֲבָל בִּגְבוּלִין לֹא."
Jerusalem Talmud Maaser Sheni 1:1:2,מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין.,Deuteronomy 14:24,וְכִֽי־יִרְבֶּ֨ה מִמְּךָ֜ הַדֶּ֗רֶךְ כִּ֣י לֹ֣א תוּכַל֮ שְׂאֵתוֹ֒ כִּֽי־יִרְחַ֤ק מִמְּךָ֙ הַמָּק֔וֹם אֲשֶׁ֤ר יִבְחַר֙ יְהֹוָ֣ה אֱלֹהֶ֔יךָ לָשׂ֥וּם שְׁמ֖וֹ שָׁ֑ם כִּ֥י יְבָרֶכְךָ֖ יְהֹוָ֥ה אֱלֹהֶֽיךָ׃
Jerusalem Talmud Maaser Sheni 1:1:2-5,"[""מעשר שני אין מוכרין אותו כו'. אין מוכרין אותו מפני שכתוב בו קדושה. אין ממשכנין אותו מפני שכתוב בו ברכה. כיצד אין מוכרין אותו לא יאמר אדם לחבירו הא לך את המנה הזה של מעשר שני ותן לי בו חמשים זוז של חולין."", 'מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.', 'אמר רבי ירמיה מאן תנא אין מוכרין אותו רבי מאיר ברם כרבי יודן בדין הוא שיהא מותר למוכרו מקל וחומר מה אם שביעית שאין פורעין חוב מדמיה מותר למוכרה מעשר שני שפורעין חוב מדמיו אינו דין שיהא מותר למוכרו. הא אשכחנן שפורעין חוב מדמיו כיי דתנינן תמן משך הימנו מעשר בסלע ולא הספיק לפדותו עד שעמד בשתים. אמר רבי יוסי שנייא היא שמשעה ראשונה מעשר שני חייב אילו חייב היה לו ונתן לו מעשר יאות. אמר רבי יודן מתני\' אמרה כן שהוא אסור למוכרו דתנינן תמן מזיד קידש שוגג לא קידש. אם את אומר יהא מותר למוכרו יהא מותר לקדש בו. וכל שהוא אסור למוכרו אסור לקדש בו והתנינן אין לוקחין עבדים וקרקעות ובהמה טמאה מדמי שביעית ואם לקח יאכל כנגדן. א""ר יוסי זאת אומרת שאסור ליקח אשה מדמי שביעית דלכן מה בין קונה אשה מה בין קונה שפחה. רבי יוסי בשם רבי זעירא רבי יודן בשם רבי יילא דברי הכל היא מפני פילפולו. רבי יוסי בשם רבי אחא דברי הכל היא כדי שיהו הכל זקוקים למחיצתן.', 'כיצד אין ממשכנין אותו הנכנס לתוך ביתו של חבירו למשכנו אל ימשכן מעשר שני שלו. תני ולא מרהינין אותו ולא יתננו לחנווני שיאכל עליו. עבר ומשכן עבר והרהין ייבא כהדא האוכל מעשר שני שלו בין שוגג בין מזיד יצעק לשמים דברי רבן שמעון בן גמליאל. רבי אומר שוגג יצעק לשמים מזיד יחזרו דמיו למקומן. ואם היו מעות שוגג יצעק לשמים מזיד יחזרו דמיו למקומן דברי רבן שמעון בן גמליאל. רבי אומר בין שוגג בין מזיד יחזרו דמיו למקומן. רבי זריקה בשם חזקיה הלכה כרבי במעות וכרבן שמעון בן גמליאל בפירות. אמר רבי יילא מעשה היה והורו כרבי במעות.']",Jerusalem Talmud Maaser Sheni 1:1:10,"אֲבָל נוֹתְנִין זֶה לַזֶּה מַּתְּנַת חִנָּם. מַתְנִיתִין דְּרִבִּי מֵאִיר דּוּ רִבִּי מֵאִיר <i data-overlay=""Vilna Pages"" data-value=""2b""></i>אָמַר אֵין מַתָּנָה כְּמֶכֶר. אָמַר רִבִּי יוֹסֵי דִּבְרֵי הַכֹּל הִיא הָכָא כְּהָדָא דְתַנֵּי. הָיָה אוֹמֵר אָדָם לַחֲבֵירוֹ <i data-commentator=""Guggenheimer Notes"" data-label=""33""></i> מַה אָכַלְתָּ הַיּוֹם וְהוּא אוֹמֵר לוֹ קַיִץ וְהָיָה יוֹדֵעַ שֶׁהוּא בְּכוֹר. מַה הַקַּייִץ נִמְכַּר בְּזוֹל. אַף הַבְּכוֹר נִמְכַּר בְּזוֹל. הָיָה אוֹמֵר לוֹ מָן וְהָיָה יוֹדֵעַ שֶׁהוּא מַעֲשֵׂר שֵׁינִי. מַה הַמָּן נִיתַּן בְּמַתָּנָה אַף מַעֲשֵׂר שֵׁינִי נִיתַּן בְּמַתָּנָה. הָתִיבוּן הֲרֵי מַעֲשֵׂר בְּהֵמָה דִּבְרֵי הַכֹּל אֵינוֹ נִמְכַּר וְאַתְּ אָֽמְרָת נִיתַּן בְּמַתָּנָה. אַף זֶה נִיתַּן בְּמַתָּנָה. רִבִּי מָנָא לֹא אָמַר כֵּן אֶלָּא כְּרִבִּי יוּדָה דְּרִבִּי יוּדָה אָמַר עָשָׂה אוֹתוֹ כִּנְכָסָיו. הָתִיבוּן הֲרֵי מַעֲשֵׂר בְּהֵמָה דִּבְרֵי הַכֹּל אֵינוֹ כִּנְכָסָיו וְאַתְּ אָמַר נִיתַּן בְּמַתָּנָה. אַף זֶה נִיתַּן בְּמַתָּנָה."
Jerusalem Talmud Maaser Sheni 1:1:3,"מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.",Mishnah Kiddushin 2:8,"הַמְקַדֵּשׁ בְּחֶלְקוֹ, בֵּין קָדְשֵׁי קָדָשִׁים בֵּין קָדָשִׁים קַלִּים, אֵינָהּ מְקֻדֶּשֶׁת. בְּמַעֲשֵׂר שֵׁנִי, בֵּין שׁוֹגֵג בֵּין מֵזִיד, לֹא קִדֵּשׁ, דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר, בְּשׁוֹגֵג לֹא קִדֵּשׁ, בְּמֵזִיד קִדֵּשׁ. וּבְהֶקְדֵּשׁ, בְּמֵזִיד קִדֵּשׁ וּבְשׁוֹגֵג לֹא קִדֵּשׁ, דִּבְרֵי רַבִּי מֵאִיר. רַבִּי יְהוּדָה אוֹמֵר, בְּשׁוֹגֵג קִדֵּשׁ, בְּמֵזִיד לֹא קִדֵּשׁ: 
"
Jerusalem Talmud Maaser Sheni 1:1:3,"מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.",Mishnah Bikkurim 2:2,"יֵשׁ בְּמַעֲשֵׂר וּבִכּוּרִים מַה שֶּׁאֵין כֵּן בַּתְּרוּמָה, שֶׁהַמַּעֲשֵׂר וְהַבִּכּוּרִים טְעוּנִים הֲבָאַת מָקוֹם, וּטְעוּנִים וִדּוּי, וַאֲסוּרִין לָאוֹנֵן. רַבִּי שִׁמְעוֹן מַתִּיר. וְחַיָּבִין בַּבִּעוּר. וְרַבִּי שִׁמְעוֹן פּוֹטֵר. וַאֲסוּרִין כָּל שֶׁהֵן מִלֶּאֱכֹל בִּירוּשָׁלַיִם. וְגִדּוּלֵיהֶן אֲסוּרִים מִלֶּאֱכֹל בִּירוּשָׁלַיִם אַף לְזָרִים וְלַבְּהֵמָה. רַבִּי שִׁמְעוֹן מַתִּיר. הֲרֵי אֵלּוּ בַּמַּעֲשֵׂר וּבַבִּכּוּרִים, מַה שֶּׁאֵין כֵּן בַּתְּרוּמָה: 
"
Jerusalem Talmud Maaser Sheni 1:1:3,"מאן תנא אין מוכרין אותו ר""מ ברם כרבי יודה בדין הוא שיהא מותר למוכרו מקל וחומר מה אם תרומה שהיא אסורה לזרים מותר למוכרה מעשר שני שהוא מותר לזרים אינו דין שיהא מותר למוכר. לא אם אמרת בתרומה שאינה טעונה מחיצה תאמר במעשר שני שהוא טעון מחיצה. ביכורים יוכיחו שהן טעונין מחיצה ומותר למוכרן. לא אם אמרת בביכורים שאינן תופסין את דמיהן תאמר במעשר שני שהוא תופס את דמיו. שביעית תוכיח שהיא תופסת את דמיה ומותר למוכרה. אמר רבי יודן מזו מכירתה של שביעית היא חילולה.",Mishnah Bikkurim 3:12,"לְמָה אָמְרוּ הַבִּכּוּרִים כְּנִכְסֵי כֹהֵן, שֶׁהוּא קוֹנֶה מֵהֶם עֲבָדִים וְקַרְקָעוֹת וּבְהֵמָה טְמֵאָה, וּבַעַל חוֹב נוֹטְלָן בְּחוֹבוֹ, וְהָאִשָּׁה בִכְתֻבָּתָהּ, כְּסֵפֶר תּוֹרָה. וְרַבִּי יְהוּדָה אוֹמֵר, אֵין נוֹתְנִים אוֹתָם אֶלָּא לְחָבֵר בְּטוֹבָה. וַחֲכָמִים אוֹמְרִים, נוֹתְנִין אוֹתָם לְאַנְשֵׁי מִשְׁמָר, וְהֵם מְחַלְּקִין בֵּינֵיהֶם, כְּקָדְשֵׁי הַמִּקְדָּשׁ: 
"
