Index Title,Berkovits-Unity In Judaism.
Version Title,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002108945/NLI
Version Notes,
"Berkovits-Unity In Judaism., The Jewish Communal Affairs Department.1",The Jewish Communal Affairs Department is one of the major national program departments of the American Jewish Committee. Its overriding goal is to improve the quality of Jewish life and ensure Jewish continuity. The Department is active in five significant areas of contemporary Jewish concern: the dynamics and maintenance of Jewish identity; the Jewish family (the Department created the William Petschek National Jewish Family Center in 1979); Jewish education at every level (in 1974 it founded the college-level Academy for Jewish Studies); the communal involvement of Jewish academics; Israel and Jewish communities in other parts of the world.
"Berkovits-Unity In Judaism., The Jewish Communal Affairs Department.2","The JCAD pursues its objectives through commissioned research, conferences, publications, leadership training, consultation services, demonstration projects, and preparation of program guidelines for AJC chapters and other Jewish agencies."
"Berkovits-Unity In Judaism., About the Author.1","<b>Eliezer Berkovits</b> was Professor of Jewish Philosophy at the Hebrew Theological College in Skokie, Illinois, and now resides in Israel. The most recent of his books on Jewish thought and Jewish law is the widely acclaimed <span class=""underline"">Not in Heaven: The Nature and Function of Halakha</span>."
"Berkovits-Unity In Judaism., Foreword.1","The Jewish Communal Affairs Department of the American Jewish Committee is pleased to publish <span class=""underline"">Unity in Judaism</span> by the distinguished scholar Dr. Eliezer Berkovits. This paper is part of the Department’s “Jewish Perspectives” series, which applies the insights of the Jewish tradition to contemporary issues."
"Berkovits-Unity In Judaism., Foreword.2","While previous contributions to the series dealt with social and ethical matters of universal concern, this monograph addresses a serious internal Jewish problem -- the increased polarization among Jewish religious groups."
"Berkovits-Unity In Judaism., Foreword.3","Although Jews have a long history of disputing with each other, the current debate could split the Jewish community irreparably because the very definition of Jewishness is at stake. Intermarriage and divorce have increased rapidly among American Jews. There are hundreds of thousands of children who have been born either to mixed-marriage couples or to couples in which the non-Jewish spouse’s conversion is not recognized by Orthodox Jews. Too, the large number of Jewish couples who dissolve their marriages without a Jewish divorce (<span class=""underline"">get</span>) has produced offspring from remarriages who, according to Orthodox and Conservative Judaism, may not marry other Jews. As a result of these trends, it is conceivable that there will soon be two distinct groups of Jews, whose members will not marry across group lines."
"Berkovits-Unity In Judaism., Foreword.4","Recently, disputes over these and other matters have become more intense. Extremists in all the camps have escalated their rhetoric, denouncing each other publicly and creating a confrontational atmosphere that prevents civil and meaningful communication."
"Berkovits-Unity In Judaism., Foreword.5","The American Jewish Committee, believing that the unity and ongoing vitality of the Jewish community supersedes all other considerations, has tried to combat polarization by encouraging dialogue among the leaders of the different religious streams of Judaism. This process may enable all Jews to reach a consensus on the issues that now divide us; at the every least, it will create an atmosphere of tolerance and mutual respect enabling Jews to agree to disagree in a spirit of love."
