Index Title,Major Themes.
Version Title,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976"
Language,he
Version Source,https://www.nli.org.il/he/books/NNL_ALEPH002108945/NLI
Version Notes,
"Major Themes., Foreword.1","As its title indicates, this volume deals with several major themes in the modern philosophies of Judaism as they emerge from some of the key writings of the authors discussed."
"Major Themes., Foreword.2","The analysis is critical. I believe that in my criticism I have given illustrative expression to the conviction that at this time we have neither a theology nor a philosophy of Judaism that does justice to the essential nature of Jewish teaching about God, man, and the universe as expressed in the classical sources of Judaism, nor one that can be maintained with contemporary philosophical validity."
"Major Themes., Foreword.3","In my opinion, we have reached a stage that requires a great deal of rethinking of the nature of the Jewish position in the history of human thought and commitment in the light of contemporary philosophical problematics and existential experience. Judaism is awaiting a reformulation of its theology and philosophy. It will, however, be accomplished by means of an intellectual strength that draws its creative inspiration as well as its contents from the classical sources of Judaism—Bible, Talmud, and Midrash."
"Major Themes., Foreword.4","The chapter on Buber was previously published by Yeshiva University, New York, in 1962, under the title, <i>A Jewish Critique of the Philosophy of Martin Buber</i>. The critique of Reconstructionism appeared in <i>Tradition</i>, in the Fall, 1959 issue, under the title, “Reconstructionist Theology.” The essay on Heschel was also published by <i>Tradition</i>, in the Spring-Summer issue of 1964. The essay, “Faith and Law” was previously published in <i>Judaism</i>, in the Fall issue, 1964. Our thanks are offered to the publishers for their kind permission to reprint these essays in their present form."
"Major Themes., Foreword.5",E<small>LIEZER</small> B<small>ERKOVITS</small>
"Major Themes., Foreword.6",The Hebrew Theological College
"Major Themes., Foreword.7","Hol Hamoed Succot, 5734"
